pivot_uid,symbol,timeframe,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_price,pivot_role,first_seen_at,last_seen_at,accepted_at,superseded_at,superseded_by,persistence_cuts,is_persistent,is_current_candidate,rejection_reason,lookahead_safe
EURUSD_r_H4_high_2025_12_11T16_00_00_1_17627,EURUSD.r,H4,high,2025-12-11T16:00:00,2025-12-12T16:00:00,1.17627,rejected_pivot,2025-12-15T12:00:00,2025-12-15T12:00:00,,,,1,False,False,did_not_reach_persistence,True
EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079,EURUSD.r,H4,high,2025-12-24T04:00:00,2025-12-26T04:00:00,1.18079,persistent_pivot,2026-01-08T12:00:00,2026-03-17T04:00:00,2026-01-30T08:00:00,,,4,True,False,,True
EURUSD_r_H4_low_2026_01_05T12_00_00_1_1659,EURUSD.r,H4,low,2026-01-05T12:00:00,2026-01-06T12:00:00,1.1659,rejected_pivot,2026-01-08T12:00:00,2026-01-08T12:00:00,,,,1,False,False,did_not_reach_persistence,True
EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725,EURUSD.r,H4,low,2026-01-19T00:00:00,2026-01-20T00:00:00,1.15725,persistent_pivot,2026-01-30T08:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,EURUSD.r,H4,high,2026-01-27T20:00:00,2026-01-28T20:00:00,1.20816,persistent_pivot,2026-01-30T08:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
EURUSD_r_H4_low_2026_02_19T16_00_00_1_1742,EURUSD.r,H4,low,2026-02-19T16:00:00,2026-02-20T16:00:00,1.1742,rejected_pivot,2026-02-23T08:00:00,2026-02-23T08:00:00,,,,1,False,False,not_seen_in_latest_cut,True
EURUSD_r_H4_low_2026_03_13T20_00_00_1_14107,EURUSD.r,H4,low,2026-03-13T20:00:00,2026-03-16T20:00:00,1.14107,candidate_pivot,2026-03-17T04:00:00,2026-03-17T04:00:00,,,,1,False,True,,True
GBPUSD_r_H4_low_2025_08_22T08_00_00_1_33903,GBPUSD.r,H4,low,2025-08-22T08:00:00,2025-08-25T08:00:00,1.33903,rejected_pivot,2025-08-26T00:00:00,2025-08-26T00:00:00,,,,1,False,False,did_not_reach_persistence,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,low,2025-09-03T08:00:00,2025-09-04T08:00:00,1.33331,persistent_pivot,2025-09-16T20:00:00,2026-03-17T04:00:00,2025-10-08T20:00:00,,,9,True,False,,True
GBPUSD_r_H4_high_2025_09_09T12_00_00_1_35903,GBPUSD.r,H4,high,2025-09-09T12:00:00,2025-09-10T12:00:00,1.35903,rejected_pivot,2025-09-16T20:00:00,2025-09-16T20:00:00,,,,1,False,False,did_not_reach_persistence,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,high,2025-09-16T16:00:00,2025-09-17T16:00:00,1.36716,persistent_pivot,2025-10-08T20:00:00,2026-03-17T04:00:00,2025-10-30T16:00:00,,,8,True,False,,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,low,2025-09-26T00:00:00,2025-09-29T00:00:00,1.33204,persistent_pivot,2025-10-08T20:00:00,2026-03-17T04:00:00,2025-10-30T16:00:00,,,8,True,False,,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,high,2025-10-01T16:00:00,2025-10-02T16:00:00,1.35273,persistent_pivot,2025-10-08T20:00:00,2026-03-17T04:00:00,2025-10-30T16:00:00,,,8,True,False,,True
GBPUSD_r_H4_low_2025_10_14T12_00_00_1_32483,GBPUSD.r,H4,low,2025-10-14T12:00:00,2025-10-15T12:00:00,1.32483,rejected_pivot,2025-10-30T16:00:00,2025-10-30T16:00:00,,,,1,False,False,did_not_reach_persistence,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,low,2025-11-20T04:00:00,2025-11-21T04:00:00,1.30375,persistent_pivot,2025-11-21T16:00:00,2026-03-17T04:00:00,2025-12-15T12:00:00,,,6,True,False,,True
GBPUSD_r_H4_high_2025_12_11T16_00_00_1_3438,GBPUSD.r,H4,high,2025-12-11T16:00:00,2025-12-12T16:00:00,1.3438,rejected_pivot,2025-12-15T12:00:00,2025-12-15T12:00:00,,,,1,False,False,did_not_reach_persistence,True
GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,GBPUSD.r,H4,high,2026-01-06T08:00:00,2026-01-07T08:00:00,1.35675,persistent_pivot,2026-01-08T12:00:00,2026-03-17T04:00:00,2026-01-30T08:00:00,,,4,True,False,,True
GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343,GBPUSD.r,H4,low,2026-01-19T00:00:00,2026-01-20T00:00:00,1.33343,persistent_pivot,2026-01-30T08:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,GBPUSD.r,H4,high,2026-01-27T20:00:00,2026-01-28T20:00:00,1.38661,persistent_pivot,2026-01-30T08:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
GBPUSD_r_H4_low_2026_02_19T16_00_00_1_3434,GBPUSD.r,H4,low,2026-02-19T16:00:00,2026-02-20T16:00:00,1.3434,rejected_pivot,2026-02-23T08:00:00,2026-02-23T08:00:00,,,,1,False,False,not_seen_in_latest_cut,True
GBPUSD_r_H4_low_2026_03_03T16_00_00_1_3253,GBPUSD.r,H4,low,2026-03-03T16:00:00,2026-03-04T16:00:00,1.3253,candidate_pivot,2026-03-17T04:00:00,2026-03-17T04:00:00,,,,1,False,True,,True
GBPUSD_r_H4_high_2026_03_10T08_00_00_1_3483,GBPUSD.r,H4,high,2026-03-10T08:00:00,2026-03-11T08:00:00,1.3483,candidate_pivot,2026-03-17T04:00:00,2026-03-17T04:00:00,,,,1,False,True,,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,low,2025-08-20T16:00:00,2025-08-21T16:00:00,6346.85,persistent_pivot,2025-08-25T08:00:00,2026-03-17T04:00:00,2025-09-16T08:00:00,,,10,True,False,,True
US500_H4_high_2025_09_10T12_00_00_6559_29,US500,H4,high,2025-09-10T12:00:00,2025-09-11T12:00:00,6559.29,rejected_pivot,2025-09-16T08:00:00,2025-09-16T08:00:00,,,,1,False,False,did_not_reach_persistence,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,high,2025-10-03T16:00:00,2025-10-06T16:00:00,6751.97,persistent_pivot,2025-10-08T08:00:00,2026-03-17T04:00:00,2025-10-30T04:00:00,,,8,True,False,,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,low,2025-10-10T20:00:00,2025-10-13T20:00:00,6496.43,persistent_pivot,2025-10-30T04:00:00,2026-03-17T04:00:00,2025-11-21T04:00:00,,,7,True,False,,True
US500_H4_high_2025_10_21T16_00_00_6758_6,US500,H4,high,2025-10-21T16:00:00,2025-10-22T16:00:00,6758.6,rejected_pivot,2025-10-30T04:00:00,2025-10-30T04:00:00,,,,1,False,False,did_not_reach_persistence,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,high,2025-10-30T04:00:00,2025-10-31T04:00:00,6924.99,persistent_pivot,2025-11-21T04:00:00,2026-03-17T04:00:00,2025-12-15T04:00:00,,,6,True,False,,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,low,2025-11-18T16:00:00,2025-11-19T16:00:00,6576.4,persistent_pivot,2025-11-21T04:00:00,2026-03-17T04:00:00,2025-12-15T04:00:00,,,6,True,False,,True
US500_H4_high_2025_12_05T16_00_00_6896_21,US500,H4,high,2025-12-05T16:00:00,2025-12-08T16:00:00,6896.21,persistent_pivot,2025-12-15T04:00:00,2026-03-17T04:00:00,2026-01-08T04:00:00,,,5,True,False,,True
US500_H4_low_2025_12_18T04_00_00_6722_12,US500,H4,low,2025-12-18T04:00:00,2025-12-19T04:00:00,6722.12,persistent_pivot,2026-01-08T04:00:00,2026-03-17T04:00:00,2026-01-30T04:00:00,,,4,True,False,,True
US500_H4_high_2025_12_26T16_00_00_6949_95,US500,H4,high,2025-12-26T16:00:00,2025-12-29T16:00:00,6949.95,persistent_pivot,2026-01-08T04:00:00,2026-03-17T04:00:00,2026-01-30T04:00:00,,,4,True,False,,True
US500_H4_low_2026_01_02T20_00_00_6827_1,US500,H4,low,2026-01-02T20:00:00,2026-01-05T20:00:00,6827.1,persistent_pivot,2026-01-08T04:00:00,2026-03-17T04:00:00,2026-01-30T04:00:00,,,4,True,False,,True
US500_H4_high_2026_01_13T12_00_00_7001_8,US500,H4,high,2026-01-13T12:00:00,2026-01-14T12:00:00,7001.8,persistent_pivot,2026-01-30T04:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
US500_H4_low_2026_01_21T12_00_00_6785_65,US500,H4,low,2026-01-21T12:00:00,2026-01-22T12:00:00,6785.65,persistent_pivot,2026-01-30T04:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
US500_H4_high_2026_01_28T08_00_00_7017_68,US500,H4,high,2026-01-28T08:00:00,2026-01-29T08:00:00,7017.68,persistent_pivot,2026-01-30T04:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
US500_H4_low_2026_02_06T00_00_00_6734_22,US500,H4,low,2026-02-06T00:00:00,2026-02-09T00:00:00,6734.22,persistent_pivot,2026-02-23T08:00:00,2026-03-17T04:00:00,2026-03-17T04:00:00,,,2,True,False,,True
US500_H4_high_2026_02_11T16_00_00_6995_45,US500,H4,high,2026-02-11T16:00:00,2026-02-12T16:00:00,6995.45,persistent_pivot,2026-02-23T08:00:00,2026-03-17T04:00:00,2026-03-17T04:00:00,,,2,True,False,,True
US500_H4_low_2026_03_09T04_00_00_6577_72,US500,H4,low,2026-03-09T04:00:00,2026-03-10T04:00:00,6577.72,candidate_pivot,2026-03-17T04:00:00,2026-03-17T04:00:00,,,,1,False,True,,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,low,2025-08-20T04:00:00,2025-08-21T04:00:00,3311.58,persistent_pivot,2025-08-26T00:00:00,2026-03-17T04:00:00,2025-09-16T20:00:00,,,10,True,False,,True
XAUUSD_r_H4_high_2025_09_09T16_00_00_3674_94,XAUUSD.r,H4,high,2025-09-09T16:00:00,2025-09-10T16:00:00,3674.94,rejected_pivot,2025-09-16T20:00:00,2025-09-16T20:00:00,,,,1,False,False,did_not_reach_persistence,True
XAUUSD_r_H4_high_2025_10_01T08_00_00_3895_36,XAUUSD.r,H4,high,2025-10-01T08:00:00,2025-10-02T08:00:00,3895.36,rejected_pivot,2025-10-08T20:00:00,2025-10-08T20:00:00,,,,1,False,False,did_not_reach_persistence,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,high,2025-10-17T00:00:00,2025-10-20T00:00:00,4379.62,persistent_pivot,2025-10-30T16:00:00,2026-03-17T04:00:00,2025-11-21T16:00:00,,,7,True,False,,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,low,2025-10-28T12:00:00,2025-10-29T12:00:00,3886.53,persistent_pivot,2025-10-30T16:00:00,2026-03-17T04:00:00,2025-11-21T16:00:00,,,7,True,False,,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,high,2025-11-13T12:00:00,2025-11-14T12:00:00,4245.14,persistent_pivot,2025-11-21T16:00:00,2026-03-17T04:00:00,2025-12-15T12:00:00,,,6,True,False,,True
XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD.r,H4,low,2025-11-21T08:00:00,2025-11-24T08:00:00,4022.51,persistent_pivot,2025-12-15T12:00:00,2026-03-17T04:00:00,2026-01-08T12:00:00,,,5,True,False,,True
XAUUSD_r_H4_high_2025_12_01T12_00_00_4264_53,XAUUSD.r,H4,high,2025-12-01T12:00:00,2025-12-02T12:00:00,4264.53,rejected_pivot,2025-12-15T12:00:00,2025-12-15T12:00:00,,,,1,False,False,did_not_reach_persistence,True
XAUUSD_r_H4_high_2025_12_26T16_00_00_4549_84,XAUUSD.r,H4,high,2025-12-26T16:00:00,2025-12-29T16:00:00,4549.84,rejected_pivot,2026-01-08T12:00:00,2026-01-08T12:00:00,,,,1,False,False,did_not_reach_persistence,True
XAUUSD_r_H4_high_2026_01_29T00_00_00_5596_89,XAUUSD.r,H4,high,2026-01-29T00:00:00,2026-01-30T00:00:00,5596.89,persistent_pivot,2026-01-30T08:00:00,2026-03-17T04:00:00,2026-02-23T08:00:00,,,3,True,False,,True
XAUUSD_r_H4_low_2026_02_17T16_00_00_4840_27,XAUUSD.r,H4,low,2026-02-17T16:00:00,2026-02-18T16:00:00,4840.27,persistent_pivot,2026-02-23T08:00:00,2026-03-17T04:00:00,2026-03-17T04:00:00,,,2,True,False,,True
XAUUSD_r_H4_high_2026_03_02T08_00_00_5419_29,XAUUSD.r,H4,high,2026-03-02T08:00:00,2026-03-03T08:00:00,5419.29,candidate_pivot,2026-03-17T04:00:00,2026-03-17T04:00:00,,,,1,False,True,,True
XAUUSD_r_H4_low_2026_03_16T00_00_00_4967_94,XAUUSD.r,H4,low,2026-03-16T00:00:00,2026-03-17T00:00:00,4967.94,candidate_pivot,2026-03-17T04:00:00,2026-03-17T04:00:00,,,,1,False,True,,True
