candidate_id,structure_type,timeframe_policy,swing_degree,matches_guided_impulse_profile,guided_profile_match_score,phase252_candidate_action,phase252_reason,chart_path
impulse_index_aus200_h4_major_impulse_013,impulse,primary_h4_d1,major,near_miss,88,manual_review_before_expansion,Near-miss because higher_degree_context; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\011_impulse_index_aus200_h4_major_impulse_013.png
impulse_forex_gbpusd_h4_major_impulse_012,impulse,primary_h4_d1,major,near_miss,78,manual_review_before_expansion,Near-miss because higher_degree_context; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\012_impulse_forex_gbpusd_h4_major_impulse_012.png
partial_123_forex_audjpy_h4_intermediate_partial123_002,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,primary_h4_d1,intermediate,no,85,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
partial_123_index_aus200_h4_intermediate_partial123_006,invalid_or_negative,primary_h4_d1,intermediate,no,46,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\015_partial_123_index_aus200_h4_intermediate_partial123_006.png
partial_123_forex_audjpy_h4_intermediate_partial123_005,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_002,invalid_or_negative,primary_h4_d1,minor,no,42,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\017_partial_123_forex_audjpy_h4_minor_partial123_002.png
partial_123_metals_xagusd_h4_minor_partial123_001,partial_123,primary_h4_d1,minor,no,50,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\018_partial_123_metals_xagusd_h4_minor_partial123_001.png
partial_123_index_aus200_h4_minor_partial123_005,partial_123,primary_h4_d1,minor,no,60,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\019_partial_123_index_aus200_h4_minor_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,primary_h4_d1,minor,no,60,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\020_partial_123_forex_audjpy_h4_minor_partial123_005.png
partial_123_forex_audjpy_h4_major_partial123_003,partial_123,primary_h4_d1,major,no,60,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\021_partial_123_forex_audjpy_h4_major_partial123_003.png
partial_123_metals_xagusd_h4_major_partial123_003,partial_123,primary_h4_d1,major,no,70,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\022_partial_123_metals_xagusd_h4_major_partial123_003.png
partial_123_index_aus200_h4_major_partial123_006,invalid_or_negative,primary_h4_d1,major,no,31,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\023_partial_123_index_aus200_h4_major_partial123_006.png
partial_123_forex_audjpy_h4_major_partial123_005,partial_123,primary_h4_d1,major,no,70,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\024_partial_123_forex_audjpy_h4_major_partial123_005.png
abc_forex_audjpy_h4_abc_002,invalid_or_negative,primary_h4_d1,intermediate,no,59,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\025_abc_forex_audjpy_h4_abc_002.png
abc_metals_xagusd_h4_abc_003,invalid_or_negative,primary_h4_d1,intermediate,no,46,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\026_abc_metals_xagusd_h4_abc_003.png
abc_index_aus200_h4_abc_006,invalid_or_negative,primary_h4_d1,intermediate,no,46,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\027_abc_index_aus200_h4_abc_006.png
abc_forex_audjpy_h4_abc_005,invalid_or_negative,primary_h4_d1,intermediate,no,46,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\028_abc_forex_audjpy_h4_abc_005.png
abc_index_aus200_h4_abc_005,invalid_or_negative,primary_h4_d1,minor,no,44,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\029_abc_index_aus200_h4_abc_005.png
abc_forex_audjpy_h4_abc_009,invalid_or_negative,primary_h4_d1,minor,no,31,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\030_abc_forex_audjpy_h4_abc_009.png
abc_forex_eurjpy_h4_abc_004,invalid_or_negative,primary_h4_d1,minor,no,31,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\031_abc_forex_eurjpy_h4_abc_004.png
abc_forex_eurusd_h4_abc_002,invalid_or_negative,primary_h4_d1,minor,no,44,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\032_abc_forex_eurusd_h4_abc_002.png
abc_forex_audjpy_h4_abc_003,invalid_or_negative,primary_h4_d1,major,no,44,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\033_abc_forex_audjpy_h4_abc_003.png
abc_forex_audjpy_h4_abc_013,invalid_or_negative,primary_h4_d1,major,no,31,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\034_abc_forex_audjpy_h4_abc_013.png
abc_forex_eurjpy_h4_abc_003,invalid_or_negative,primary_h4_d1,major,no,44,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\035_abc_forex_eurjpy_h4_abc_003.png
abc_forex_eurusd_h4_abc_003,invalid_or_negative,primary_h4_d1,major,no,44,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\036_abc_forex_eurusd_h4_abc_003.png
near_miss_forex_audjpy_h4_intermediate_impulse_002,invalid_or_negative,primary_h4_d1,intermediate,no,59,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png
near_miss_metals_xagusd_h4_intermediate_impulse_003,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\038_near_miss_metals_xagusd_h4_intermediate_impulse_003.png
near_miss_index_aus200_h4_intermediate_impulse_009,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\039_near_miss_index_aus200_h4_intermediate_impulse_009.png
near_miss_forex_audjpy_h4_minor_impulse_002,invalid_or_negative,primary_h4_d1,minor,no,26,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\040_near_miss_forex_audjpy_h4_minor_impulse_002.png
near_miss_metals_xagusd_h4_minor_impulse_005,invalid_or_negative,primary_h4_d1,minor,no,36,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\041_near_miss_metals_xagusd_h4_minor_impulse_005.png
near_miss_index_aus200_h4_minor_impulse_005,invalid_or_negative,primary_h4_d1,minor,no,36,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\042_near_miss_index_aus200_h4_minor_impulse_005.png
near_miss_forex_audjpy_h4_major_impulse_005,invalid_or_negative,primary_h4_d1,major,no,50,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\043_near_miss_forex_audjpy_h4_major_impulse_005.png
near_miss_metals_xagusd_h4_major_impulse_003,invalid_or_negative,primary_h4_d1,major,no,37,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\044_near_miss_metals_xagusd_h4_major_impulse_003.png
near_miss_index_aus200_h4_major_impulse_009,invalid_or_negative,primary_h4_d1,major,no,42,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\045_near_miss_index_aus200_h4_major_impulse_009.png
hard_invalid_forex_audjpy_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\046_hard_invalid_forex_audjpy_h4_intermediate_impulse_001.png
hard_invalid_metals_xagusd_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\047_hard_invalid_metals_xagusd_h4_intermediate_impulse_001.png
hard_invalid_index_aus200_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,no,57,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png
hard_invalid_forex_audjpy_h4_minor_impulse_001,invalid_or_negative,primary_h4_d1,minor,no,36,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\049_hard_invalid_forex_audjpy_h4_minor_impulse_001.png
hard_invalid_metals_xagusd_h4_minor_impulse_002,invalid_or_negative,primary_h4_d1,minor,no,44,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\050_hard_invalid_metals_xagusd_h4_minor_impulse_002.png
hard_invalid_index_aus200_h4_minor_impulse_001,invalid_or_negative,primary_h4_d1,minor,no,36,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\051_hard_invalid_index_aus200_h4_minor_impulse_001.png
hard_invalid_forex_audjpy_h4_major_impulse_001,invalid_or_negative,primary_h4_d1,major,no,42,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\052_hard_invalid_forex_audjpy_h4_major_impulse_001.png
hard_invalid_metals_xagusd_h4_major_impulse_001,invalid_or_negative,primary_h4_d1,major,no,42,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png
hard_invalid_index_aus200_h4_major_impulse_001,invalid_or_negative,primary_h4_d1,major,no,42,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\054_hard_invalid_index_aus200_h4_major_impulse_001.png
impulse_forex_audjpy_h1_minor_impulse_013,impulse,auxiliary_h1_h4,minor,near_miss,55,manual_review_before_expansion,Near-miss because minor_substructure; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\001_impulse_forex_audjpy_h1_minor_impulse_013.png
impulse_metals_xagusd_h1_minor_impulse_019,impulse,auxiliary_h1_h4,minor,no,26,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\002_impulse_metals_xagusd_h1_minor_impulse_019.png
impulse_index_aus200_h1_minor_impulse_006,impulse,auxiliary_h1_h4,minor,no,45,manual_review_before_expansion,Different degree from base profile; keep as context/substructure.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\003_impulse_index_aus200_h1_minor_impulse_006.png
impulse_forex_audjpy_h1_minor_impulse_015,impulse,auxiliary_h1_h4,minor,no,52,manual_review_before_expansion,Different degree from base profile; keep as context/substructure.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\004_impulse_forex_audjpy_h1_minor_impulse_015.png
impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,auxiliary_h1_h4,intermediate,near_miss,67,manual_review_before_expansion,Near-miss because auxiliary_timeframe; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png
impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,auxiliary_h1_h4,intermediate,near_miss,67,manual_review_before_expansion,Near-miss because auxiliary_timeframe; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png
impulse_index_aus200_h1_intermediate_impulse_004,impulse,auxiliary_h1_h4,intermediate,near_miss,70,manual_review_before_expansion,Near-miss because auxiliary_timeframe; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\007_impulse_index_aus200_h1_intermediate_impulse_004.png
impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,microstructure_m30_h1,intermediate,near_miss,70,manual_review_before_expansion,Near-miss because auxiliary_timeframe; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png
impulse_metals_xagusd_h1_major_impulse_009,impulse,auxiliary_h1_h4,major,no,52,manual_review_before_expansion,Different degree from base profile; keep as context/substructure.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\009_impulse_metals_xagusd_h1_major_impulse_009.png
impulse_index_aus200_h1_major_impulse_002,impulse,auxiliary_h1_h4,major,near_miss,55,manual_review_before_expansion,Near-miss because higher_degree_context; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\010_impulse_index_aus200_h1_major_impulse_002.png
impulse_index_aus200_h1_major_impulse_010,impulse,auxiliary_h1_h4,major,no,52,manual_review_before_expansion,Different degree from base profile; keep as context/substructure.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\011_impulse_index_aus200_h1_major_impulse_010.png
impulse_index_hk50_m30_major_impulse_003,impulse,microstructure_m30_h1,major,no,45,manual_review_before_expansion,Different degree from base profile; keep as context/substructure.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\012_impulse_index_hk50_m30_major_impulse_003.png
partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,auxiliary_h1_h4,intermediate,no,42,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png
partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,auxiliary_h1_h4,intermediate,no,42,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png
partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,auxiliary_h1_h4,intermediate,no,34,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\015_partial_123_index_aus200_h1_intermediate_partial123_001.png
partial_123_forex_audjpy_h1_intermediate_partial123_011,partial_123,auxiliary_h1_h4,intermediate,no,42,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png
partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,auxiliary_h1_h4,minor,no,22,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\017_partial_123_forex_audjpy_h1_minor_partial123_007.png
partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,auxiliary_h1_h4,minor,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\018_partial_123_metals_xagusd_h1_minor_partial123_002.png
partial_123_index_aus200_h1_minor_partial123_001,partial_123,auxiliary_h1_h4,minor,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\019_partial_123_index_aus200_h1_minor_partial123_001.png
partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,auxiliary_h1_h4,minor,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\020_partial_123_forex_audjpy_h1_minor_partial123_013.png
partial_123_forex_audjpy_h1_major_partial123_007,partial_123,auxiliary_h1_h4,major,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\021_partial_123_forex_audjpy_h1_major_partial123_007.png
partial_123_metals_xagusd_h1_major_partial123_006,partial_123,auxiliary_h1_h4,major,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\022_partial_123_metals_xagusd_h1_major_partial123_006.png
partial_123_index_aus200_h1_major_partial123_002,partial_123,auxiliary_h1_h4,major,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\023_partial_123_index_aus200_h1_major_partial123_002.png
partial_123_forex_eurusd_h1_major_partial123_002,partial_123,auxiliary_h1_h4,major,no,27,exclude_from_expansion,Not part of the base impulse profile; keep as context branch.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\024_partial_123_forex_eurusd_h1_major_partial123_002.png
abc_forex_audjpy_h1_abc_009,abc_correction,auxiliary_h1_h4,intermediate,no,29,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\025_abc_forex_audjpy_h1_abc_009.png
abc_metals_xagusd_h1_abc_003,abc_correction,auxiliary_h1_h4,intermediate,no,34,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\026_abc_metals_xagusd_h1_abc_003.png
abc_index_aus200_h1_abc_004,abc_correction,auxiliary_h1_h4,intermediate,no,34,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\027_abc_index_aus200_h1_abc_004.png
abc_forex_audjpy_h1_abc_011,abc_correction,auxiliary_h1_h4,intermediate,no,29,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\028_abc_forex_audjpy_h1_abc_011.png
abc_forex_audjpy_h1_abc_007,abc_correction,auxiliary_h1_h4,minor,no,9,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\029_abc_forex_audjpy_h1_abc_007.png
abc_metals_xagusd_h1_abc_002,abc_correction,auxiliary_h1_h4,minor,no,14,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\030_abc_metals_xagusd_h1_abc_002.png
abc_index_aus200_h1_abc_006,abc_correction,auxiliary_h1_h4,minor,no,19,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\031_abc_index_aus200_h1_abc_006.png
abc_forex_audjpy_h1_abc_013,abc_correction,auxiliary_h1_h4,minor,no,14,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\032_abc_forex_audjpy_h1_abc_013.png
abc_metals_xagusd_h1_abc_006,abc_correction,auxiliary_h1_h4,major,no,19,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\033_abc_metals_xagusd_h1_abc_006.png
abc_index_aus200_h1_abc_002,abc_correction,auxiliary_h1_h4,major,no,19,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\034_abc_index_aus200_h1_abc_002.png
