candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
11,impulse_exp257_index_aus200_h4_major_impulse_023,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\011_impulse_exp257_index_aus200_h4_major_impulse_023.png,Index,AUS200,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_index_aus200_h4_major_impulse_023,exp257_index_aus200_h4,2025-10-21 04:00:00,2025-11-21 00:00:00
12,impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\012_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png,Forex Majors,AUDCAD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_forex_majors_audcadr_h4_major_impulse_036,exp257_forex_majors_audcadr_h4,2026-01-15 00:00:00,2026-02-23 00:00:00
13,partial_123_exp257_forex_majors_audcadr_h4_intermediate_partial123_004,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_forex_majors_audcadr_h4_intermediate_partial123_004,exp257_forex_majors_audcadr_h4,2025-07-17 08:00:00,2025-07-24 12:00:00
14,partial_123_exp257_metals_xageurr_h4_intermediate_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Metals,XAGEUR.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_metals_xageurr_h4_intermediate_partial123_002,exp257_metals_xageurr_h4,2025-07-09 16:00:00,2025-07-23 16:00:00
15,partial_123_exp257_index_aus200_h4_intermediate_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Index,AUS200,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_index_aus200_h4_intermediate_partial123_002,exp257_index_aus200_h4,2025-06-27 20:00:00,2025-07-03 16:00:00
16,partial_123_exp257_forex_majors_audcadr_h4_intermediate_partial123_006,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_forex_majors_audcadr_h4_intermediate_partial123_006,exp257_forex_majors_audcadr_h4,2025-07-23 00:00:00,2025-07-28 04:00:00
17,partial_123_exp257_forex_majors_audcadr_h4_minor_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_forex_majors_audcadr_h4_minor_partial123_002,exp257_forex_majors_audcadr_h4,2025-07-03 12:00:00,2025-07-11 04:00:00
18,partial_123_exp257_metals_xageurr_h4_minor_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,Metals,XAGEUR.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_metals_xageurr_h4_minor_partial123_002,exp257_metals_xageurr_h4,2025-07-02 04:00:00,2025-07-14 08:00:00
19,partial_123_exp257_index_aus200_h4_minor_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,Index,AUS200,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_index_aus200_h4_minor_partial123_002,exp257_index_aus200_h4,2025-06-27 20:00:00,2025-07-03 16:00:00
20,partial_123_exp257_forex_majors_audcadr_h4_minor_partial123_005,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,minor,bearish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_forex_majors_audcadr_h4_minor_partial123_005,exp257_forex_majors_audcadr_h4,2025-07-11 04:00:00,2025-07-17 08:00:00
21,partial_123_exp257_forex_majors_audcadr_h4_major_partial123_006,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_forex_majors_audcadr_h4_major_partial123_006,exp257_forex_majors_audcadr_h4,2025-07-30 20:00:00,2025-08-14 04:00:00
22,partial_123_exp257_metals_xageurr_h4_major_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png,Metals,XAGEUR.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_metals_xageurr_h4_major_partial123_002,exp257_metals_xageurr_h4,2025-07-09 16:00:00,2025-07-23 16:00:00
23,partial_123_exp257_index_aus200_h4_major_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\023_partial_123_exp257_index_aus200_h4_major_partial123_002.png,Index,AUS200,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_index_aus200_h4_major_partial123_002,exp257_index_aus200_h4,2025-06-30 16:00:00,2025-07-18 08:00:00
24,partial_123_exp257_forex_majors_audcadr_h4_major_partial123_008,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp257_forex_majors_audcadr_h4_major_partial123_008,exp257_forex_majors_audcadr_h4,2025-08-04 20:00:00,2025-09-12 04:00:00
25,abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\025_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004.png,Forex Majors,AUDCAD.r,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_forex_majors_audcadr_h4_intermediate_abc_004,exp257_forex_majors_audcadr_h4,2025-07-17 08:00:00,2025-07-24 12:00:00
26,abc_exp257_metals_xageurr_h4_intermediate_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\026_abc_exp257_metals_xageurr_h4_intermediate_abc_002.png,Metals,XAGEUR.r,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_metals_xageurr_h4_intermediate_abc_002,exp257_metals_xageurr_h4,2025-07-09 16:00:00,2025-07-23 16:00:00
27,abc_exp257_index_aus200_h4_intermediate_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\027_abc_exp257_index_aus200_h4_intermediate_abc_002.png,Index,AUS200,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_index_aus200_h4_intermediate_abc_002,exp257_index_aus200_h4,2025-06-27 20:00:00,2025-07-03 16:00:00
28,abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png,Forex Majors,AUDCAD.r,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_forex_majors_audcadr_h4_intermediate_abc_010,exp257_forex_majors_audcadr_h4,2025-07-30 20:00:00,2025-08-08 16:00:00
29,abc_exp257_forex_majors_audcadr_h4_minor_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\029_abc_exp257_forex_majors_audcadr_h4_minor_abc_002.png,Forex Majors,AUDCAD.r,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_forex_majors_audcadr_h4_minor_abc_002,exp257_forex_majors_audcadr_h4,2025-07-03 12:00:00,2025-07-11 04:00:00
30,abc_exp257_metals_xageurr_h4_minor_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\030_abc_exp257_metals_xageurr_h4_minor_abc_002.png,Metals,XAGEUR.r,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_metals_xageurr_h4_minor_abc_002,exp257_metals_xageurr_h4,2025-07-02 04:00:00,2025-07-14 08:00:00
31,abc_exp257_index_aus200_h4_minor_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\031_abc_exp257_index_aus200_h4_minor_abc_002.png,Index,AUS200,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_index_aus200_h4_minor_abc_002,exp257_index_aus200_h4,2025-06-27 20:00:00,2025-07-03 16:00:00
32,abc_exp257_forex_majors_audcadr_h4_minor_abc_005,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\032_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png,Forex Majors,AUDCAD.r,H4,minor,bearish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_forex_majors_audcadr_h4_minor_abc_005,exp257_forex_majors_audcadr_h4,2025-07-11 04:00:00,2025-07-17 08:00:00
33,abc_exp257_forex_majors_audcadr_h4_major_abc_006,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\033_abc_exp257_forex_majors_audcadr_h4_major_abc_006.png,Forex Majors,AUDCAD.r,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_forex_majors_audcadr_h4_major_abc_006,exp257_forex_majors_audcadr_h4,2025-07-30 20:00:00,2025-08-14 04:00:00
34,abc_exp257_metals_xageurr_h4_major_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\034_abc_exp257_metals_xageurr_h4_major_abc_002.png,Metals,XAGEUR.r,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_metals_xageurr_h4_major_abc_002,exp257_metals_xageurr_h4,2025-07-09 16:00:00,2025-07-23 16:00:00
35,abc_exp257_index_aus200_h4_major_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\035_abc_exp257_index_aus200_h4_major_abc_002.png,Index,AUS200,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_index_aus200_h4_major_abc_002,exp257_index_aus200_h4,2025-06-30 16:00:00,2025-07-18 08:00:00
36,abc_exp257_forex_majors_audcadr_h4_major_abc_008,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\036_abc_exp257_forex_majors_audcadr_h4_major_abc_008.png,Forex Majors,AUDCAD.r,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp257_forex_majors_audcadr_h4_major_abc_008,exp257_forex_majors_audcadr_h4,2025-08-04 20:00:00,2025-09-12 04:00:00
37,near_miss_exp257_forex_majors_audcadr_h4_intermediate_impulse_010,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory,impulse_diagnostics,exp257_forex_majors_audcadr_h4_intermediate_impulse_010,exp257_forex_majors_audcadr_h4,2025-07-30 20:00:00,2025-08-14 04:00:00
38,near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\038_near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002.png,Metals,XAGEUR.r,H4,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,exp257_metals_xageurr_h4_intermediate_impulse_002,exp257_metals_xageurr_h4,2025-07-09 16:00:00,2025-07-29 16:00:00
39,near_miss_exp257_index_aus200_h4_intermediate_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\039_near_miss_exp257_index_aus200_h4_intermediate_impulse_002.png,Index,AUS200,H4,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,impulse_diagnostics,exp257_index_aus200_h4_intermediate_impulse_002,exp257_index_aus200_h4,2025-06-27 20:00:00,2025-07-15 16:00:00
40,near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\040_near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002.png,Forex Majors,AUDCAD.r,H4,minor,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp257_forex_majors_audcadr_h4_minor_impulse_002,exp257_forex_majors_audcadr_h4,2025-07-03 12:00:00,2025-07-16 16:00:00
41,near_miss_exp257_metals_xageurr_h4_minor_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\041_near_miss_exp257_metals_xageurr_h4_minor_impulse_002.png,Metals,XAGEUR.r,H4,minor,bullish,soft_impulse_near_miss,full_impulse_12345,wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp257_metals_xageurr_h4_minor_impulse_002,exp257_metals_xageurr_h4,2025-07-02 04:00:00,2025-07-16 12:00:00
42,near_miss_exp257_index_aus200_h4_minor_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\042_near_miss_exp257_index_aus200_h4_minor_impulse_002.png,Index,AUS200,H4,minor,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp257_index_aus200_h4_minor_impulse_002,exp257_index_aus200_h4,2025-06-27 20:00:00,2025-07-07 00:00:00
43,near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\043_near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006.png,Forex Majors,AUDCAD.r,H4,major,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory,impulse_diagnostics,exp257_forex_majors_audcadr_h4_major_impulse_006,exp257_forex_majors_audcadr_h4,2025-07-30 20:00:00,2025-09-12 04:00:00
44,near_miss_exp257_metals_xageurr_h4_major_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\044_near_miss_exp257_metals_xageurr_h4_major_impulse_002.png,Metals,XAGEUR.r,H4,major,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,exp257_metals_xageurr_h4_major_impulse_002,exp257_metals_xageurr_h4,2025-07-09 16:00:00,2025-07-29 16:00:00
45,near_miss_exp257_index_aus200_h4_major_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\045_near_miss_exp257_index_aus200_h4_major_impulse_002.png,Index,AUS200,H4,major,bullish,soft_impulse_near_miss,full_impulse_12345,wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp257_index_aus200_h4_major_impulse_002,exp257_index_aus200_h4,2025-06-30 16:00:00,2025-07-24 00:00:00
46,hard_invalid_exp257_forex_majors_audcadr_h4_intermediate_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,intermediate,bearish,hard_invalid_impulse,full_impulse_12345,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep,impulse_diagnostics,exp257_forex_majors_audcadr_h4_intermediate_impulse_001,exp257_forex_majors_audcadr_h4,2025-07-01 20:00:00,2025-07-23 00:00:00
47,hard_invalid_exp257_metals_xageurr_h4_intermediate_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Metals,XAGEUR.r,H4,intermediate,bearish,hard_invalid_impulse,full_impulse_12345,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,impulse_diagnostics,exp257_metals_xageurr_h4_intermediate_impulse_001,exp257_metals_xageurr_h4,2025-07-07 00:00:00,2025-07-25 16:00:00
48,hard_invalid_exp257_index_aus200_h4_intermediate_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Index,AUS200,H4,intermediate,bearish,hard_invalid_impulse,full_impulse_12345,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,impulse_diagnostics,exp257_index_aus200_h4_intermediate_impulse_001,exp257_index_aus200_h4,2025-06-26 20:00:00,2025-07-07 20:00:00
