example_id,group,symbol,timeframe,example_type,raw_pivot_id,structure_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,atr,structural_detected_at,reason,leg_move_abs,leg_move_pct,leg_move_atr,bars_from_previous,replacement_of_raw_pivot_id,structural_pivot_id,previous_structural_pivot_id,fixture_id,market_group,higher_timeframe
ohlc_wave5_active,Forex Majors,OHLC_W5A,H4,impulse,3,structural_pivot,low,2026-02-07 12:00:00,2026-02-07 16:00:00,104.9,13.433333333333328,2026-02-07 16:00:00,opposite-type pivot passes structural leg filter,7.199999999999989,0.06422836752899187,0.6792452830188672,1.0,,3,2.0,ohlc_wave5_active,Forex Majors,D1
ohlc_wave5_active,Forex Majors,OHLC_W5A,H4,impulse,4,structural_pivot,high,2026-02-07 16:00:00,2026-02-07 20:00:00,126.1,12.099999999999994,2026-02-07 20:00:00,opposite-type pivot passes structural leg filter,21.19999999999999,0.20209723546234498,1.6605744125326367,1.0,,4,3.0,ohlc_wave5_active,Forex Majors,D1
ohlc_wave5_active,Forex Majors,OHLC_W5A,H4,impulse,5,structural_pivot,low,2026-02-07 20:00:00,2026-02-08 00:00:00,117.9,13.76666666666666,2026-02-08 00:00:00,opposite-type pivot passes structural leg filter,8.199999999999989,0.06502775574940514,0.6340206185567004,1.0,,5,4.0,ohlc_wave5_active,Forex Majors,D1
ohlc_completed_impulse,Forex Majors,OHLC_WDONE,H4,impulse,1,structural_pivot,low,2026-02-08 04:00:00,2026-02-08 08:00:00,99.9,5.466666666666659,2026-02-08 08:00:00,initial structural pivot,,,,,,1,,ohlc_completed_impulse,Forex Majors,D1
ohlc_completed_impulse,Forex Majors,OHLC_WDONE,H4,impulse,2,structural_pivot,high,2026-02-08 08:00:00,2026-02-08 12:00:00,112.1,7.766666666666661,2026-02-08 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_completed_impulse,Forex Majors,D1
ohlc_completed_impulse,Forex Majors,OHLC_WDONE,H4,impulse,3,structural_pivot,low,2026-02-08 12:00:00,2026-02-08 16:00:00,104.9,13.433333333333328,2026-02-08 16:00:00,opposite-type pivot passes structural leg filter,7.199999999999989,0.06422836752899187,0.6792452830188672,1.0,,3,2.0,ohlc_completed_impulse,Forex Majors,D1
ohlc_completed_impulse,Forex Majors,OHLC_WDONE,H4,impulse,4,structural_pivot,high,2026-02-08 16:00:00,2026-02-08 20:00:00,126.1,12.099999999999994,2026-02-08 20:00:00,opposite-type pivot passes structural leg filter,21.19999999999999,0.20209723546234498,1.6605744125326367,1.0,,4,3.0,ohlc_completed_impulse,Forex Majors,D1
ohlc_completed_impulse,Forex Majors,OHLC_WDONE,H4,impulse,5,structural_pivot,low,2026-02-08 20:00:00,2026-02-09 00:00:00,117.9,13.76666666666666,2026-02-09 00:00:00,opposite-type pivot passes structural leg filter,8.199999999999989,0.06502775574940514,0.6340206185567004,1.0,,5,4.0,ohlc_completed_impulse,Forex Majors,D1
ohlc_completed_impulse,Forex Majors,OHLC_WDONE,H4,impulse,6,structural_pivot,high,2026-02-09 00:00:00,2026-02-09 04:00:00,130.1,8.099999999999994,2026-02-09 04:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.10347752332485147,1.115853658536585,1.0,,6,5.0,ohlc_completed_impulse,Forex Majors,D1
ohlc_possible_waveA,Forex Majors,OHLC_A,H4,correction,1,structural_pivot,high,2026-02-10 04:00:00,2026-02-10 08:00:00,130.1,4.133333333333326,2026-02-10 08:00:00,initial structural pivot,,,,,,1,,ohlc_possible_waveA,Forex Majors,D1
ohlc_possible_waveB,Forex Majors,OHLC_B,H4,correction,1,structural_pivot,high,2026-02-11 04:00:00,2026-02-11 08:00:00,130.1,5.466666666666659,2026-02-11 08:00:00,initial structural pivot,,,,,,1,,ohlc_possible_waveB,Forex Majors,D1
ohlc_possible_waveB,Forex Majors,OHLC_B,H4,correction,2,structural_pivot,low,2026-02-11 08:00:00,2026-02-11 12:00:00,117.9,8.099999999999994,2026-02-11 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.09377401998462713,1.7985257985257987,1.0,,2,1.0,ohlc_possible_waveB,Forex Majors,D1
ohlc_waveC_candidate,Forex Majors,OHLC_CC,H4,correction,1,structural_pivot,high,2026-02-12 04:00:00,2026-02-12 08:00:00,130.1,5.466666666666659,2026-02-12 08:00:00,initial structural pivot,,,,,,1,,ohlc_waveC_candidate,Forex Majors,D1
ohlc_waveC_candidate,Forex Majors,OHLC_CC,H4,correction,2,structural_pivot,low,2026-02-12 08:00:00,2026-02-12 12:00:00,117.9,8.099999999999994,2026-02-12 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.09377401998462713,1.7985257985257987,1.0,,2,1.0,ohlc_waveC_candidate,Forex Majors,D1
ohlc_waveC_candidate,Forex Majors,OHLC_CC,H4,correction,3,structural_pivot,high,2026-02-12 12:00:00,2026-02-12 16:00:00,126.1,9.099999999999994,2026-02-12 16:00:00,opposite-type pivot passes structural leg filter,8.199999999999989,0.06955046649703128,0.9534883720930226,1.0,,3,2.0,ohlc_waveC_candidate,Forex Majors,D1
ohlc_waveC_active,Forex Majors,OHLC_CA,H4,correction,1,structural_pivot,high,2026-02-13 04:00:00,2026-02-13 08:00:00,130.1,5.466666666666659,2026-02-13 08:00:00,initial structural pivot,,,,,,1,,ohlc_waveC_active,Forex Majors,D1
ohlc_waveC_active,Forex Majors,OHLC_CA,H4,correction,2,structural_pivot,low,2026-02-13 08:00:00,2026-02-13 12:00:00,117.9,8.099999999999994,2026-02-13 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.09377401998462713,1.7985257985257987,1.0,,2,1.0,ohlc_waveC_active,Forex Majors,D1
ohlc_waveC_active,Forex Majors,OHLC_CA,H4,correction,3,structural_pivot,high,2026-02-13 12:00:00,2026-02-13 16:00:00,126.1,10.76666666666666,2026-02-13 16:00:00,opposite-type pivot passes structural leg filter,8.199999999999989,0.06955046649703128,0.8692579505300347,1.0,,3,2.0,ohlc_waveC_active,Forex Majors,D1
ohlc_completed_abc,Forex Majors,OHLC_ABCDONE,H4,correction,1,structural_pivot,high,2026-02-14 04:00:00,2026-02-14 08:00:00,130.1,5.466666666666659,2026-02-14 08:00:00,initial structural pivot,,,,,,1,,ohlc_completed_abc,Forex Majors,D1
ohlc_completed_abc,Forex Majors,OHLC_ABCDONE,H4,correction,2,structural_pivot,low,2026-02-14 08:00:00,2026-02-14 12:00:00,117.9,8.099999999999994,2026-02-14 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.09377401998462713,1.7985257985257987,1.0,,2,1.0,ohlc_completed_abc,Forex Majors,D1
ohlc_completed_abc,Forex Majors,OHLC_ABCDONE,H4,correction,3,structural_pivot,high,2026-02-14 12:00:00,2026-02-14 16:00:00,126.1,10.76666666666666,2026-02-14 16:00:00,opposite-type pivot passes structural leg filter,8.199999999999989,0.06955046649703128,0.8692579505300347,1.0,,3,2.0,ohlc_completed_abc,Forex Majors,D1
ohlc_completed_abc,Forex Majors,OHLC_ABCDONE,H4,correction,4,structural_pivot,low,2026-02-14 16:00:00,2026-02-14 20:00:00,113.9,8.433333333333328,2026-02-14 20:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.09674861221252966,1.2708333333333328,1.0,,4,3.0,ohlc_completed_abc,Forex Majors,D1
ohlc_ambiguous,Forex Majors,OHLC_AMBIG,H4,impulse,1,structural_pivot,high,2026-02-16 04:00:00,2026-02-16 08:00:00,101.1,0.7333333333333248,2026-02-16 08:00:00,initial structural pivot,,,,,,1,,ohlc_ambiguous,Forex Majors,D1
ohlc_ambiguous,Forex Majors,OHLC_AMBIG,H4,impulse,2,structural_pivot,low,2026-02-16 08:00:00,2026-02-16 12:00:00,100.10000000000001,0.8999999999999915,2026-02-16 12:00:00,opposite-type pivot passes structural leg filter,0.9999999999999858,0.009891196834816873,1.2244897959183627,1.0,,2,1.0,ohlc_ambiguous,Forex Majors,D1
ohlc_invalidated,Forex Majors,OHLC_INV,H4,impulse,1,structural_pivot,low,2026-02-17 04:00:00,2026-02-17 08:00:00,99.9,5.466666666666659,2026-02-17 08:00:00,initial structural pivot,,,,,,1,,ohlc_invalidated,Forex Majors,D1
ohlc_invalidated,Forex Majors,OHLC_INV,H4,impulse,2,structural_pivot,high,2026-02-17 08:00:00,2026-02-17 12:00:00,112.1,10.099999999999994,2026-02-17 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.5674518201284797,1.0,,2,1.0,ohlc_invalidated,Forex Majors,D1
