doc_name,current_path,topic,phase,doc_type,is_current,superseded_by,keep_in_docs_root,future_proposed_path,contains_old_folder_refs,contains_compressed_axis_refs,contains_abc_legacy_refs,recommendation
WAVECOUNT_FASE2_3_3_CALIBRACION_GRADOS.md,docs\WAVECOUNT_FASE2_3_3_CALIBRACION_GRADOS.md,fase2_3_3_calibracion_grados,2.3.3,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_3_CALIBRACION_GRADOS.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_3_4_CIERRE_VISUAL_H4_D1.md,docs\WAVECOUNT_FASE2_3_4_CIERRE_VISUAL_H4_D1.md,fase2_3_4_cierre_visual_h4_d1,2.3.4,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_4_CIERRE_VISUAL_H4_D1.md,False,False,True,move only after creating redirects or index
WAVECOUNT_FASE2_3_REVISION_MANUAL_H1_M30.md,docs\WAVECOUNT_FASE2_3_REVISION_MANUAL_H1_M30.md,fase2_3_revision_manual_h1_m30,2.3,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_REVISION_MANUAL_H1_M30.md,True,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_3_REVISION_VISUAL.md,docs\WAVECOUNT_FASE2_3_REVISION_VISUAL.md,fase2_3_revision_visual,2.3,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_REVISION_VISUAL.md,True,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_4_1_REVISION_VISUAL_CONTEXTO.md,docs\WAVECOUNT_FASE2_4_1_REVISION_VISUAL_CONTEXTO.md,fase2_4_1_revision_visual_contexto,2.4.1,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_1_REVISION_VISUAL_CONTEXTO.md,True,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_4_2_AUDITORIA_CONTEXTO_CALIDAD.md,docs\WAVECOUNT_FASE2_4_2_AUDITORIA_CONTEXTO_CALIDAD.md,fase2_4_2_auditoria_contexto_calidad,2.4.2,auditoria,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_2_AUDITORIA_CONTEXTO_CALIDAD.md,False,False,True,move only after creating redirects or index
WAVECOUNT_FASE2_4_3_AUDITORIA_ABC.md,docs\WAVECOUNT_FASE2_4_3_AUDITORIA_ABC.md,fase2_4_3_auditoria_abc,2.4.3,auditoria,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_3_AUDITORIA_ABC.md,False,False,True,move only after creating redirects or index
WAVECOUNT_FASE2_4_4_CORRECCIONES_CONTEXTUALES.md,docs\WAVECOUNT_FASE2_4_4_CORRECCIONES_CONTEXTUALES.md,fase2_4_4_correcciones_contextuales,2.4.4,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_4_CORRECCIONES_CONTEXTUALES.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_4_5_CIERRE_PRE_25.md,docs\WAVECOUNT_FASE2_4_5_CIERRE_PRE_25.md,fase2_4_5_cierre_pre_25,2.4.5,cierre,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_5_CIERRE_PRE_25.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_4_CONTEXTO_TECNICO.md,docs\WAVECOUNT_FASE2_4_CONTEXTO_TECNICO.md,fase2_4_contexto_tecnico,2.4,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_CONTEXTO_TECNICO.md,True,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_5_0_SCORING_CONTEXTO.md,docs\WAVECOUNT_FASE2_5_0_SCORING_CONTEXTO.md,fase2_5_0_scoring_contexto,2.5.0,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_0_SCORING_CONTEXTO.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_5_1_PERFIL_IMPULSO_GUIADO.md,docs\WAVECOUNT_FASE2_5_1_PERFIL_IMPULSO_GUIADO.md,fase2_5_1_perfil_impulso_guiado,2.5.1,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_1_PERFIL_IMPULSO_GUIADO.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_5_2B_H1_H4_AUXILIAR.md,docs\WAVECOUNT_FASE2_5_2B_H1_H4_AUXILIAR.md,fase2_5_2b_h1_h4_auxiliar,2.5.2b,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_2B_H1_H4_AUXILIAR.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_5_2_EXPANSION_IMPULSO_GUIADO.md,docs\WAVECOUNT_FASE2_5_2_EXPANSION_IMPULSO_GUIADO.md,fase2_5_2_expansion_impulso_guiado,2.5.2,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_2_EXPANSION_IMPULSO_GUIADO.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_5_3_ESTADISTICA_DESCRIPTIVA.md,docs\WAVECOUNT_FASE2_5_3_ESTADISTICA_DESCRIPTIVA.md,fase2_5_3_estadistica_descriptiva,2.5.3,reporte de fase,True,,False,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_3_ESTADISTICA_DESCRIPTIVA.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_CONTEO_CANDIDATO.md,docs\WAVECOUNT_FASE2_CONTEO_CANDIDATO.md,fase2_conteo_candidato,2,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_CONTEO_CANDIDATO.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FORMALIZACION.md,docs\WAVECOUNT_FORMALIZACION.md,formalizacion,general,formalizacion,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/01_formalizacion/WAVECOUNT_FORMALIZACION.md,False,False,False,move only after creating redirects or index
WAVECOUNT_H4_D1_2026-05-20.md,docs\WAVECOUNT_H4_D1_2026-05-20.md,h4_d1_2026-05-20,general,metodologia,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/99_legacy/WAVECOUNT_H4_D1_2026-05-20.md,True,False,True,move only after creating redirects or index
WAVECOUNT_REAUDITORIA_VISUAL_COMPRIMIDA_2026-05-19.md,docs\WAVECOUNT_REAUDITORIA_VISUAL_COMPRIMIDA_2026-05-19.md,reauditoria_visual_comprimida_2026-05-19,general,auditoria,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/90_audits/WAVECOUNT_REAUDITORIA_VISUAL_COMPRIMIDA_2026-05-19.md,True,False,False,move only after creating redirects or index
WAVECOUNT_REORGANIZACION_PLAN_2026-05-24.md,docs\WAVECOUNT_REORGANIZACION_PLAN_2026-05-24.md,reorganizacion_plan_2026-05-24,reorg_plan,metodologia,True,,False,docs/wavecount/90_audits/WAVECOUNT_REORGANIZACION_PLAN_2026-05-24.md,False,False,False,move only after creating redirects or index
WAVECOUNT_VISUALIZACION_EJE_COMPRIMIDO.md,docs\WAVECOUNT_VISUALIZACION_EJE_COMPRIMIDO.md,visualizacion_eje_comprimido,general,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/99_legacy/WAVECOUNT_VISUALIZACION_EJE_COMPRIMIDO.md,False,False,False,move only after creating redirects or index
