review_phase,candidate_order,candidate_id,review_category,swing_degree,chart_path_relative,context_chart_path_relative,chart_path_absolute_out,visual_review_status,visual_quality_score,swing_degree_fit,context_status,user_review_priority,suggested_action,why_review,visual_notes
best_examples_for_user_validation,12,impulse_forex_gbpusd_h4_major_impulse_012,impulse,major,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Good major bearish impulse with strong wave 3 and natural extended fifth.
phase2_4_h4_d1_context,12,impulse_forex_gbpusd_h4_major_impulse_012,impulse,major,,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,,,,conflict_explains_case/flags_transition,high,inspect_manually_before_phase_2_5,d1_context_conflict_or_unclear,Bearish H4 structure has local support but D1 conflict prevents aligned-impulse reading.
phase2_3_h4_count_only,13,partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123,intermediate,charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,likely_false_candidate,2,too_micro,,high,do_not_use_for_rules,low_visual_quality,Small bearish 1-2-3 is absorbed by the later rise; forced as intermediate.
phase2_4_h4_d1_context,13,partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123,intermediate,,charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,,,,conflict_explains_case/downgrades_confidence,high,do_not_use_for_rules,d1_context_conflict_or_unclear,Bearish partial occurs against bullish D1 and broader rising structure; EWO only captures pullback momentum.
best_examples_for_user_validation,14,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,visually_defensible,4,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,"Good bullish 1-2-3 launch on XAGUSD, natural as intermediate start."
phase2_3_h4_count_only,15,partial_123_index_aus200_h4_intermediate_partial123_006,partial_123,intermediate,charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,likely_false_candidate,2,too_micro,,high,do_not_use_for_rules,low_visual_quality,Weak bearish partial; wave 3 barely breaks before immediate bullish reversal.
phase2_4_h4_d1_context,15,partial_123_index_aus200_h4_intermediate_partial123_006,partial_123,intermediate,,charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,,,,conflict_suspicious/downgrades_confidence,high,do_not_use_for_rules,d1_context_conflict_or_unclear,Bearish partial sits inside bullish D1 and rising EMA context; context confirms it should not be rescued.
best_examples_for_user_validation,16,partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,visually_defensible,4,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Clean and proportional bullish 1-2-3; fits the later H4 trend.
phase2_4_h4_d1_context,17,partial_123_forex_audjpy_h4_minor_partial123_002,partial_123,minor,,charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,,,,conflict_explains_case/reframes_as_correction,high,do_not_use_for_rules,d1_context_conflict_or_unclear,Minor bearish partial is better read as pullback inside bullish D1.
best_examples_for_user_validation,18,partial_123_metals_xagusd_h4_minor_partial123_001,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,,,,useful,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,"Minor bullish partial is consistent with D1 alignment, rising EMAs and positive EWO."
best_examples_for_user_validation,20,partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Clean bullish sequence; wave 2 corrects without breaking and wave 3 extends naturally.
best_examples_for_user_validation,21,partial_123_forex_audjpy_h4_major_partial123_003,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,"Very good major 0-1-2-3; proportions, pivots and continuation fit well."
phase2_3_h4_count_only,23,partial_123_index_aus200_h4_major_partial123_006,partial_123,major,charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,likely_false_candidate,2,mixed,,high,do_not_use_for_rules,low_visual_quality,Weak bearish 0-1-2-3; wave 3 barely exceeds wave 1 before bullish turn.
phase2_4_h4_d1_context,23,partial_123_index_aus200_h4_major_partial123_006,partial_123,major,,charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,,,,conflict_suspicious/downgrades_confidence,high,do_not_use_for_rules,d1_context_conflict_or_unclear,D1/EMAs remain bullish while bearish 0-1-2-3 is flat and forced.
best_examples_for_user_validation,24,partial_123_forex_audjpy_h4_major_partial123_005,partial_123,major,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,"Very clear major structure; waves 1, 2 and 3 respect an impulsive read."
phase2_4_h4_d1_context,25,abc_forex_audjpy_h4_abc_002,abc,intermediate,,charts\abc\025_abc_forex_audjpy_h4_abc_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\025_abc_forex_audjpy_h4_abc_002.png,,,,conflict_explains_case/reframes_as_correction,high,use_as_negative_example,d1_context_conflict_or_unclear,Counter-D1 bearish ABC is overlapped and crowded; context does not rescue structure.
phase2_3_h4_count_only,26,abc_metals_xagusd_h4_abc_003,abc,intermediate,charts\abc\026_abc_metals_xagusd_h4_abc_003.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,likely_false_candidate,1,unclear,,high,do_not_use_for_rules,low_visual_quality,Forced ABC; it labels a bullish impulse as correction with several overlapping C labels.
phase2_4_h4_d1_context,26,abc_metals_xagusd_h4_abc_003,abc,intermediate,,charts\abc\026_abc_metals_xagusd_h4_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,,,,useful/misleading_if_used_as_filter,high,keep_as_ambiguous_example,context_changes_reading,"Bullish context is real, but ABC overlays are dense and forced."
phase2_3_h4_count_only,27,abc_index_aus200_h4_abc_006,abc,intermediate,charts\abc\027_abc_index_aus200_h4_abc_006.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\027_abc_index_aus200_h4_abc_006.png,likely_false_candidate,2,unclear,,high,do_not_use_for_rules,low_visual_quality,Forced ABC; B is excessive and C does not resolve naturally.
phase2_4_h4_d1_context,27,abc_index_aus200_h4_abc_006,abc,intermediate,,charts\abc\027_abc_index_aus200_h4_abc_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\027_abc_index_aus200_h4_abc_006.png,,,,conflict_suspicious/downgrades_confidence,high,use_as_negative_example,d1_context_conflict_or_unclear,Bearish ABC conflicts with bullish D1/EMAs and weak sideways correction.
phase2_3_h4_count_only,28,abc_forex_audjpy_h4_abc_005,abc,intermediate,charts\abc\028_abc_forex_audjpy_h4_abc_005.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,likely_false_candidate,2,unclear,,high,do_not_use_for_rules,low_visual_quality,Too many diagonals over a bullish trend; corrective read is not natural.
phase2_4_h4_d1_context,28,abc_forex_audjpy_h4_abc_005,abc,intermediate,,charts\abc\028_abc_forex_audjpy_h4_abc_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,,,,useful/misleading_if_used_as_filter,high,keep_as_ambiguous_example,context_changes_reading,"Bullish regime supports direction, but multiple ABC paths share pivots."
phase2_3_h4_count_only,30,abc_forex_audjpy_h4_abc_009,abc,minor,charts\abc\030_abc_forex_audjpy_h4_abc_009.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,likely_false_candidate,1,unclear,,high,do_not_use_for_rules,low_visual_quality,Fan of lines over most of the trend; no legible H4 A-B-C.
phase2_4_h4_d1_context,30,abc_forex_audjpy_h4_abc_009,abc,minor,,charts\abc\030_abc_forex_audjpy_h4_abc_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,,,,useful/misleading_if_used_as_filter,high,keep_as_ambiguous_example,context_changes_reading,"Trend context is supportive, but ABCs overlap across the same rising leg."
phase2_3_h4_count_only,31,abc_forex_eurjpy_h4_abc_004,abc,minor,charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,likely_false_candidate,1,unclear,,high,do_not_use_for_rules,low_visual_quality,Crossed and confused range; no natural A-B-C on H4.
phase2_4_h4_d1_context,31,abc_forex_eurjpy_h4_abc_004,abc,minor,,charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,,,,useful/misleading_if_used_as_filter,high,keep_as_ambiguous_example,context_changes_reading,"Bullish context helps direction, but several ABCs compete for the same pivots."
phase2_3_h4_count_only,32,abc_forex_eurusd_h4_abc_002,abc,minor,charts\abc\032_abc_forex_eurusd_h4_abc_002.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\032_abc_forex_eurusd_h4_abc_002.png,likely_false_candidate,2,unclear,,high,do_not_use_for_rules,low_visual_quality,Congestion with multiple labels; corrective pattern is overfit.
phase2_4_h4_d1_context,32,abc_forex_eurusd_h4_abc_002,abc,minor,,charts\abc\032_abc_forex_eurusd_h4_abc_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\032_abc_forex_eurusd_h4_abc_002.png,,,,partially_useful/downgrades_confidence,high,keep_as_ambiguous_example,context_changes_reading,Early bullish context fades into range; labels are cramped and should not be rescued.
phase2_4_h4_d1_context,33,abc_forex_audjpy_h4_abc_003,abc,major,,charts\abc\033_abc_forex_audjpy_h4_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\033_abc_forex_audjpy_h4_abc_003.png,,,,useful/misleading_if_used_as_filter,high,keep_as_ambiguous_example,context_changes_reading,"Bullish regime is clear, but ABC looks more like continuation/partial 1-2-3."
phase2_3_h4_count_only,34,abc_forex_audjpy_h4_abc_013,abc,major,charts\abc\034_abc_forex_audjpy_h4_abc_013.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\034_abc_forex_audjpy_h4_abc_013.png,likely_false_candidate,1,unclear,,high,do_not_use_for_rules,low_visual_quality,Too extended and crossed; turns a trend into an artificial correction.
phase2_4_h4_d1_context,34,abc_forex_audjpy_h4_abc_013,abc,major,,charts\abc\034_abc_forex_audjpy_h4_abc_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\034_abc_forex_audjpy_h4_abc_013.png,,,,useful/misleading_if_used_as_filter,high,keep_as_ambiguous_example,context_changes_reading,"Long bullish channel has supportive context, but ABC spans too much overlapping structure."
phase2_4_h4_d1_context,35,abc_forex_eurjpy_h4_abc_003,abc,major,,charts\abc\035_abc_forex_eurjpy_h4_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\035_abc_forex_eurjpy_h4_abc_003.png,,,,conflict_explains_case/reframes_as_correction,high,use_as_negative_example,d1_context_conflict_or_unclear,"Bearish EWO confirms pullback, but D1 is bullish and labels are forced."
phase2_4_h4_d1_context,36,abc_forex_eurusd_h4_abc_003,abc,major,,charts\abc\036_abc_forex_eurusd_h4_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\036_abc_forex_eurusd_h4_abc_003.png,,,,conflict_explains_case/reframes_as_correction,high,keep_as_ambiguous_example,d1_context_conflict_or_unclear,LTF EMAs/EWO support bearish pressure but D1 conflicts and ABC selection remains cluttered.
phase2_3_h4_count_only,37,near_miss_forex_audjpy_h4_intermediate_impulse_002,near_miss,intermediate,charts\impulses\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png,ambiguous,3,mixed,,high,keep_as_ambiguous_example,manual_or_doubtful_count,Bearish wave 5 is clearly truncated and wave 4 overlaps; useful but not strong.
best_examples_for_user_validation,43,near_miss_forex_audjpy_h4_major_impulse_005,near_miss,major,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,,,,useful,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Major near-miss is visually clean and coherent with D1/EMAs/EWO.
phase2_3_h4_count_only,44,near_miss_metals_xagusd_h4_major_impulse_003,near_miss,major,charts\impulses\044_near_miss_metals_xagusd_h4_major_impulse_003.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\044_near_miss_metals_xagusd_h4_major_impulse_003.png,likely_false_candidate,2,mixed,,high,use_as_negative_example,low_visual_quality,Deep wave 4 crash breaks proportions; too invalid for a near-miss.
phase2_4_h4_d1_context,45,near_miss_index_aus200_h4_major_impulse_009,near_miss,major,,charts\impulses\045_near_miss_index_aus200_h4_major_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\045_near_miss_index_aus200_h4_major_impulse_009.png,,,,useful/flags_transition,high,inspect_manually_before_phase_2_5,context_changes_reading,Context supports impulse until point 5 but flags late-cycle risk.
phase2_4_h4_d1_context,47,hard_invalid_metals_xagusd_h4_intermediate_impulse_001,hard_invalid,intermediate,,charts\invalidations\047_hard_invalid_metals_xagusd_h4_intermediate_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\047_hard_invalid_metals_xagusd_h4_intermediate_impulse_001.png,,,,useful/misleading_if_used_as_filter,high,inspect_manually_before_phase_2_5,context_changes_reading,"Very favorable context; if hard invalid remains, reason must be structural."
best_examples_for_user_validation,48,hard_invalid_index_aus200_h4_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,hard_invalid_correct,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Very clean hard invalid with origin-area breaks and oversized final leg.
phase2_4_h4_d1_context,48,hard_invalid_index_aus200_h4_intermediate_impulse_001,hard_invalid,intermediate,,charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,,,,useful/misleading_if_used_as_filter,high,inspect_manually_before_phase_2_5,context_changes_reading,"D1 and EMAs support, but overlap/transition mean hard invalid should not be rescued."
best_examples_for_user_validation,53,hard_invalid_metals_xagusd_h4_major_impulse_001,hard_invalid,major,charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,hard_invalid_correct,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Textbook hard invalid: wave 3 cannot exceed wave 1 and wave 5 dominates.
phase2_4_h4_d1_context,53,hard_invalid_metals_xagusd_h4_major_impulse_001,hard_invalid,major,,charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,,,,useful/misleading_if_used_as_filter,high,inspect_manually_before_phase_2_5,context_changes_reading,Context is aligned but structure has overlap and possible extension failure; audit without rescue.
phase2_4_h4_d1_context,54,hard_invalid_index_aus200_h4_major_impulse_001,hard_invalid,major,,charts\invalidations\054_hard_invalid_index_aus200_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\054_hard_invalid_index_aus200_h4_major_impulse_001.png,,,,useful/flags_transition,high,inspect_manually_before_phase_2_5,context_changes_reading,"D1/EMAs/EWO support candidate, but later correction suggests transition; only structural rules could change label."
