phase,candidate_order,candidate_id,review_category,swing_degree,chart_path,chart_path_absolute,context_chart_path,context_chart_path_absolute,example_type,visual_review_status,visual_quality_score,swing_degree_fit,d1_context_usefulness,ema_context_usefulness,ewo_context_usefulness,context_changes_phase23_reading,why_good
phase2_3_h4_count_only,48,hard_invalid_index_aus200_h4_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\invalidations\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png,,,use_as_negative_example,hard_invalid_correct,5,good,,,,,Very clean hard invalid with origin-area breaks and oversized final leg.
phase2_3_h4_count_only,53,hard_invalid_metals_xagusd_h4_major_impulse_001,hard_invalid,major,charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\invalidations\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png,,,use_as_negative_example,hard_invalid_correct,5,good,,,,,Textbook hard invalid: wave 3 cannot exceed wave 1 and wave 5 dominates.
phase2_4_h4_d1_context,2,impulse_metals_xagusd_h4_minor_impulse_001,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,Clean early bullish sequence inside aligned D1 trend with constructive EWO.
phase2_4_h4_d1_context,6,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,intermediate,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,Strong aligned bullish impulse with rising EMAs and positive EWO.
phase2_4_h4_d1_context,10,impulse_metals_xpdusd_h4_major_impulse_001,impulse,major,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,Aligned bullish major impulse with supportive EMAs and EWO.
phase2_4_h4_d1_context,14,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,"Aligned bullish 1-2-3 early in a strong trend, supported by EMAs and EWO."
phase2_4_h4_d1_context,16,partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,Bullish partial aligns with D1 and EWO supports developing impulse.
phase2_4_h4_d1_context,18,partial_123_metals_xagusd_h4_minor_partial123_001,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,"Minor bullish partial is consistent with D1 alignment, rising EMAs and positive EWO."
phase2_4_h4_d1_context,20,partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,"Clean bullish launch; D1, EMAs and EWO confirm the phase 2.3 reading."
phase2_4_h4_d1_context,21,partial_123_forex_audjpy_h4_major_partial123_003,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,keep_as_good_example,,,,useful,useful,useful_for_momentum_only,confirms,Major bullish 0-1-2-3 reads naturally; EWO supports momentum but is less decisive than D1/EMAs.
phase2_4_h4_d1_context,24,partial_123_forex_audjpy_h4_major_partial123_005,partial_123,major,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,keep_as_good_example,,,,useful,useful,useful_for_wave_role,confirms,Strong bullish partial with wave 2 near EMA support and wave 3 into clear impulse.
phase2_4_h4_d1_context,43,near_miss_forex_audjpy_h4_major_impulse_005,near_miss,major,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,inspect_manually_before_phase_2_5,,,,useful,useful,useful_for_wave_role,improves_confidence,Major near-miss is visually clean and coherent with D1/EMAs/EWO.
