candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,visual_review_status,visual_quality_score,swing_degree_fit,user_review_priority,suggested_action,visual_notes,chart_path_absolute
impulse_index_aus200_h4_major_impulse_013,impulse,impulse_diagnostics,index_aus200_h4_major_impulse_013,index_aus200_h4,Index,AUS200,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,13,18,2026-02-06 04:00:00,2026-02-27 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,11,visually_defensible,4,too_micro,medium,inspect_manually_before_phase_2_5,"Good Elliott shape, but visually closer to intermediate than major.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png
impulse_forex_gbpusd_h4_major_impulse_012,impulse,impulse_diagnostics,forex_gbpusd_h4_major_impulse_012,forex_gbpusd_h4,Forex Majors,GBPUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,12,17,2026-02-09 20:00:00,2026-03-03 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,12,excellent_example,5,good,low,keep_as_good_example,Good major bearish impulse with strong wave 3 and natural extended fifth.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png
partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123,partial_impulses,forex_audjpy_h4_intermediate_partial123_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,partial_123_candidate,partial_impulse_123,2,5,2025-12-10 08:00:00,2025-12-17 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,13,likely_false_candidate,2,too_micro,high,do_not_use_for_rules,Small bearish 1-2-3 is absorbed by the later rise; forced as intermediate.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,partial_impulses,metals_xagusd_h4_intermediate_partial123_001,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,1,4,2025-12-09 00:00:00,2025-12-22 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,14,visually_defensible,4,good,low,keep_as_good_example,"Good bullish 1-2-3 launch on XAGUSD, natural as intermediate start.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png
partial_123_index_aus200_h4_intermediate_partial123_006,partial_123,partial_impulses,index_aus200_h4_intermediate_partial123_006,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,partial_123_candidate,partial_impulse_123,6,9,2025-12-23 12:00:00,2026-01-07 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,15,likely_false_candidate,2,too_micro,high,do_not_use_for_rules,Weak bearish partial; wave 3 barely breaks before immediate bullish reversal.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png
partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,partial_impulses,forex_audjpy_h4_intermediate_partial123_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,5,8,2025-12-17 00:00:00,2026-01-07 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,16,visually_defensible,4,good,low,keep_as_good_example,Clean and proportional bullish 1-2-3; fits the later H4 trend.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_002,partial_123,partial_impulses,forex_audjpy_h4_minor_partial123_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,partial_123_candidate,partial_impulse_123,2,5,2025-12-10 08:00:00,2025-12-17 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,17,plausible_but_needs_review,3,good,medium,inspect_manually_before_phase_2_5,"More defensible as minor than intermediate, but later reversal lowers quality.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png
partial_123_metals_xagusd_h4_minor_partial123_001,partial_123,partial_impulses,metals_xagusd_h4_minor_partial123_001,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,1,4,2025-12-09 00:00:00,2025-12-22 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,18,visually_defensible,4,too_coarse,medium,inspect_manually_before_phase_2_5,"Clean pattern, but size and duration look closer to intermediate than minor.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png
partial_123_index_aus200_h4_minor_partial123_005,partial_123,partial_impulses,index_aus200_h4_minor_partial123_005,index_aus200_h4,Index,AUS200,H4,minor,bullish,partial_123_candidate,partial_impulse_123,5,8,2025-12-18 00:00:00,2025-12-23 12:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\019_partial_123_index_aus200_h4_minor_partial123_005.png,19,visually_defensible,4,good,medium,possible_rule_candidate,"Compact bullish 0-1-2-3; wave 3 confirms, though small versus context.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\019_partial_123_index_aus200_h4_minor_partial123_005.png
partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,partial_impulses,forex_audjpy_h4_minor_partial123_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,5,8,2025-12-17 00:00:00,2025-12-22 08:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,20,excellent_example,5,good,high,keep_as_good_example,Clean bullish sequence; wave 2 corrects without breaking and wave 3 extends naturally.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png
partial_123_forex_audjpy_h4_major_partial123_003,partial_123,partial_impulses,forex_audjpy_h4_major_partial123_003,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,3,6,2025-12-17 00:00:00,2026-01-14 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,21,excellent_example,5,good,high,keep_as_good_example,"Very good major 0-1-2-3; proportions, pivots and continuation fit well.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png
partial_123_metals_xagusd_h4_major_partial123_003,partial_123,partial_impulses,metals_xagusd_h4_major_partial123_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,3,6,2025-12-31 20:00:00,2026-01-20 12:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\022_partial_123_metals_xagusd_h4_major_partial123_003.png,22,excellent_example,5,good,high,keep_as_good_example,Natural major bullish read; wave 3 breaks with amplitude and precedes strong continuation.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\022_partial_123_metals_xagusd_h4_major_partial123_003.png
partial_123_index_aus200_h4_major_partial123_006,partial_123,partial_impulses,index_aus200_h4_major_partial123_006,index_aus200_h4,Index,AUS200,H4,major,bearish,partial_123_candidate,partial_impulse_123,6,9,2025-12-23 12:00:00,2026-01-07 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,23,likely_false_candidate,2,mixed,high,do_not_use_for_rules,Weak bearish 0-1-2-3; wave 3 barely exceeds wave 1 before bullish turn.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png
partial_123_forex_audjpy_h4_major_partial123_005,partial_123,partial_impulses,forex_audjpy_h4_major_partial123_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,5,8,2026-01-02 00:00:00,2026-01-23 08:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,24,excellent_example,5,good,high,keep_as_good_example,"Very clear major structure; waves 1, 2 and 3 respect an impulsive read.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png
abc_forex_audjpy_h4_abc_002,abc,candidate_counts,forex_audjpy_h4_abc_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,candidate_abc,abc,2,5,2025-12-10 08:00:00,2025-12-17 00:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\025_abc_forex_audjpy_h4_abc_002.png,25,ambiguous,3,mixed,medium,inspect_manually_before_phase_2_5,"Possible correction before a rise, but labels overlap and the A-B-C is not clean.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\025_abc_forex_audjpy_h4_abc_002.png
abc_metals_xagusd_h4_abc_003,abc,candidate_counts,metals_xagusd_h4_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3,6,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\026_abc_metals_xagusd_h4_abc_003.png,26,likely_false_candidate,1,unclear,high,do_not_use_for_rules,Forced ABC; it labels a bullish impulse as correction with several overlapping C labels.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png
abc_index_aus200_h4_abc_006,abc,candidate_counts,index_aus200_h4_abc_006,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,candidate_abc,abc,6,9,2025-12-23 12:00:00,2026-01-07 16:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\027_abc_index_aus200_h4_abc_006.png,27,likely_false_candidate,2,unclear,high,do_not_use_for_rules,Forced ABC; B is excessive and C does not resolve naturally.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\027_abc_index_aus200_h4_abc_006.png
abc_forex_audjpy_h4_abc_005,abc,candidate_counts,forex_audjpy_h4_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5,8,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\028_abc_forex_audjpy_h4_abc_005.png,28,likely_false_candidate,2,unclear,high,do_not_use_for_rules,Too many diagonals over a bullish trend; corrective read is not natural.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png
abc_index_aus200_h4_abc_005,abc,candidate_counts,index_aus200_h4_abc_005,index_aus200_h4,Index,AUS200,H4,minor,bullish,candidate_abc,abc,5,8,2025-12-18 00:00:00,2025-12-23 12:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\029_abc_index_aus200_h4_abc_005.png,29,ambiguous,2,mixed,medium,inspect_manually_before_phase_2_5,Looks more like a partial impulse start than a clean ABC.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\029_abc_index_aus200_h4_abc_005.png
abc_forex_audjpy_h4_abc_009,abc,candidate_counts,forex_audjpy_h4_abc_009,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,9,12,2025-12-23 04:00:00,2025-12-29 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\030_abc_forex_audjpy_h4_abc_009.png,30,likely_false_candidate,1,unclear,high,do_not_use_for_rules,Fan of lines over most of the trend; no legible H4 A-B-C.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png
abc_forex_eurjpy_h4_abc_004,abc,candidate_counts,forex_eurjpy_h4_abc_004,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,candidate_abc,abc,4,7,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,31,likely_false_candidate,1,unclear,high,do_not_use_for_rules,Crossed and confused range; no natural A-B-C on H4.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png
abc_forex_eurusd_h4_abc_002,abc,candidate_counts,forex_eurusd_h4_abc_002,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,minor,bullish,candidate_abc,abc,2,5,2025-12-09 16:00:00,2025-12-16 16:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\032_abc_forex_eurusd_h4_abc_002.png,32,likely_false_candidate,2,unclear,high,do_not_use_for_rules,Congestion with multiple labels; corrective pattern is overfit.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\032_abc_forex_eurusd_h4_abc_002.png
