review_phase,candidate_order,candidate_id,review_category,swing_degree,chart_path_relative,chart_path_absolute,visual_count_status,visual_quality_score,degree_fit,likely_problem_if_any,user_review_priority,suggested_action,why_review,visual_notes
phase2_4_context,27,abc_index_aus200_h1_abc_004,abc,intermediate,charts\abc\027_abc_index_aus200_h1_abc_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\027_abc_index_aus200_h1_abc_004.png,context_conflicts_but_useful,,,needs_manual_count_selection,high,review_manually,manual_flag_or_context_conflict,"Bearish context after top is convincing, but several ABCs overlap; not rule-clean."
phase2_3_count_only,30,abc_metals_xagusd_h1_abc_002,abc,minor,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\030_abc_metals_xagusd_h1_abc_002.png,too_coarse,2,too_coarse,"for minor degree, it covers too large a silver swing with contradictory ABC labels",high,use_as_negative_example,manual_flag_or_low_quality,Visible movement is larger than minor; overlapping paths argue against positive rule use.
phase2_3_count_only,31,abc_index_aus200_h1_abc_006,abc,minor,charts\abc\031_abc_index_aus200_h1_abc_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\031_abc_index_aus200_h1_abc_006.png,too_coarse,2,too_coarse,minor count covers a broad selloff and C is far from a local oscillation,high,use_as_negative_example,manual_flag_or_low_quality,Too large for minor and repeated A/B labels make the reading forced.
phase2_4_context,31,abc_index_aus200_h1_abc_006,abc,minor,charts\abc\031_abc_index_aus200_h1_abc_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\031_abc_index_aus200_h1_abc_006.png,context_explains_ambiguity,,,needs_manual_count_selection,high,review_manually,manual_flag_or_context_conflict,"Context explains bearish break, but overlapping minor ABCs make the count non-clean."
phase2_3_count_only,35,abc_forex_eurusd_h1_abc_002,abc,major,charts\abc\035_abc_forex_eurusd_h1_abc_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\035_abc_forex_eurusd_h1_abc_002.png,ambiguous,2,mixed,too many repeated routes and labels; A/B/C is not isolated reliably,high,do_not_use_for_rules,manual_flag_or_low_quality,"Bearish context exists, but the image cannot support a single clear ABC."
phase2_4_context,36,abc_forex_gbpusd_h1_abc_003,abc,major,charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,context_conflict_suspicious,,,downgrades_to_countertrend_bounce,high,use_as_negative_example,manual_flag_or_context_conflict,ABC bullish is against bearish EMAs/HTF; EWO only confirms local bounce.
phase2_3_count_only,39,near_miss_index_aus200_h1_intermediate_impulse_008,near_miss,intermediate,charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,plausible_but_needs_review,3,mixed,wave 3 dominates and wave 5 is a small reaction rather than continuation,high,review_manually,manual_flag_or_low_quality,"Bearish count is understandable, but it feels like rebound after a strong leg rather than clean full impulse."
phase2_4_context,41,near_miss_metals_xagusd_h1_minor_impulse_002,near_miss,minor,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,context_misleading,,,downgrade,high,use_as_negative_example,manual_flag_or_context_conflict,EMA/HTF bullish context should not rescue deep wave 4 and failed wave 5; useful warning case.
phase2_4_context,48,hard_invalid_index_aus200_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\048_hard_invalid_index_aus200_h1_intermediate_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\048_hard_invalid_index_aus200_h1_intermediate_impulse_001.png,context_misleading,,,downgrade,high,use_as_negative_example,manual_flag_or_context_conflict,Bullish EMA/HTF lag at a top can falsely support the candidate; EWO weakens before collapse.
phase2_4_context,49,hard_invalid_forex_audjpy_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\049_hard_invalid_forex_audjpy_h1_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\049_hard_invalid_forex_audjpy_h1_minor_impulse_001.png,context_misleading,,,keep_hard_invalid,high,use_as_negative_example,manual_flag_or_context_conflict,"High context score may tempt acceptance, but wave rules are broken; EMAs/EWO describe later momentum only."
phase2_4_context,51,hard_invalid_index_aus200_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\051_hard_invalid_index_aus200_h1_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\051_hard_invalid_index_aus200_h1_minor_impulse_001.png,context_misleading,,,downgrade,high,use_as_negative_example,manual_flag_or_context_conflict,Bullish EMAs/HTF align with invalid count while EWO weakens and price collapses.
phase2_4_context,54,hard_invalid_index_aus200_h1_major_impulse_001,hard_invalid,major,charts\invalidations\054_hard_invalid_index_aus200_h1_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\054_hard_invalid_index_aus200_h1_major_impulse_001.png,context_conflict_suspicious,,,keep_hard_invalid,high,use_as_negative_example,manual_flag_or_context_conflict,"LTF EMA rejects bullish count, but H4/EWO can mislead before price breaks down."
phase2_3_count_only,1,impulse_forex_audjpy_h1_minor_impulse_013,impulse,minor,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,plausible_but_needs_review,3,mixed,wave 5 ends before the clearer local high; later candles look like the same extension,medium,review_manually,manual_flag_or_low_quality,"0-1-2-3-4 reads well, but the fifth looks premature."
phase2_3_count_only,5,impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,intermediate,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,visually_defensible,4,mixed,waves 0-1-2 are small relative to waves 3-5 for intermediate degree,medium,review_manually,manual_flag_or_low_quality,"Valid visual count, but the early proportionality is a bit micro compared with the final leg."
phase2_3_count_only,12,impulse_index_hk50_m30_major_impulse_003,impulse,major,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,plausible_but_needs_review,3,mixed,wave 5 ends before a lower later low; possible premature finish,medium,review_manually,manual_flag_or_low_quality,"The 0-5 structure exists, but it is not the most natural end of the whole bearish swing."
phase2_4_context,12,impulse_index_hk50_m30_major_impulse_003,impulse,major,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,context_partially_supports,,,true,medium,review_manually,manual_flag_or_context_conflict,Looks more like correction after strong rise; EMAs turn late and later rebound weakens rule value.
phase2_3_count_only,17,partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,minor,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,ambiguous,2,mixed,wave 3 barely improves on wave 1; looks more like corrective range than impulsive start,medium,use_as_ambiguous_example,manual_flag_or_low_quality,"Fits minor degree, but lacks visual breakout after wave 2."
phase2_4_context,17,partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,minor,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,context_conflicts_but_useful,,,true,medium,review_manually,manual_flag_or_context_conflict,Bullish 1-2-3 starts with bearish LTF alignment but HTF/EWO explain transition.
phase2_3_count_only,18,partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,visually_defensible,4,mixed,"0-3 is clear, but wave 3 acts as a terminal top before a strong decline",medium,review_manually,manual_flag_or_low_quality,"Good geometric 1-2-3, but not ideal as a clean continuation template."
phase2_4_context,18,partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,context_partially_supports,,,true,medium,review_manually,manual_flag_or_context_conflict,"EWO/HTF support wave 3 spike, but EMAs lag and later fall prevents clean rule use."
phase2_4_context,19,partial_123_index_aus200_h1_minor_partial123_001,partial_123,minor,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,context_partially_supports,,,softens_confidence,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"EMAs and HTF support local bullish 1-2-3, but it is near exhaustion before a strong turn."
phase2_4_context,22,partial_123_metals_xagusd_h1_major_partial123_006,partial_123,major,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,context_explains_ambiguity,,,clarifies_transition_case,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,Good transition case: bullish 1-2-3 crosses from bearish EMAs and EWO improves.
phase2_4_context,25,abc_forex_audjpy_h1_abc_009,abc,intermediate,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\025_abc_forex_audjpy_h1_abc_009.png,context_partially_supports,,,downgrades_to_cluttered_but_supported,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"Bullish context is good, but too many ABC paths overlap; context supports bias, not unique count."
phase2_4_context,26,abc_metals_xagusd_h1_abc_003,abc,intermediate,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\026_abc_metals_xagusd_h1_abc_003.png,context_conflicts_but_useful,,,reframes_as_counter_htf_move,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"Local bearish ABC is plausible, but HTF conflict and overlays force ambiguity."
phase2_3_count_only,29,abc_forex_audjpy_h1_abc_007,abc,minor,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\029_abc_forex_audjpy_h1_abc_007.png,plausible_but_needs_review,3,mixed,minor ABC is plausible but many close labels cross the same area,medium,use_as_ambiguous_example,manual_flag_or_low_quality,"Useful for discussing overlap, too busy for a good positive example."
phase2_4_context,29,abc_forex_audjpy_h1_abc_007,abc,minor,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\029_abc_forex_audjpy_h1_abc_007.png,context_explains_ambiguity,,,clarifies_transition_case,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,Base/transition case; EMAs are not clean for minor ABC but EWO/HTF explain later bullish start.
phase2_4_context,30,abc_metals_xagusd_h1_abc_002,abc,minor,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\030_abc_metals_xagusd_h1_abc_002.png,context_partially_supports,,,softens_confidence,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"Minor bullish ABC fits rebound, but later large fall and late EMA support reduce confidence."
phase2_3_count_only,32,abc_forex_audjpy_h1_abc_013,abc,minor,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\032_abc_forex_audjpy_h1_abc_013.png,plausible_but_needs_review,3,mixed,bullish ABC is plausible but closer to intermediate scale; crossed diagonals remain,medium,use_as_ambiguous_example,manual_flag_or_low_quality,"0-A-B-C can be understood, but not clean enough for a positive example."
phase2_4_context,33,abc_metals_xagusd_h1_abc_006,abc,major,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\033_abc_metals_xagusd_h1_abc_006.png,context_explains_ambiguity,,,clarifies_transition_case,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"Major bullish ABC/recovery context; EMAs lag and overlays make it contextual, not normative."
phase2_3_count_only,36,abc_forex_gbpusd_h1_abc_003,abc,major,charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,visually_defensible,4,good,"right-side major ABC is legible, but early overlays pollute the view",medium,review_manually,manual_flag_or_low_quality,"Defensible 0-A-B-C from March low, useful only if reviewed in a cleaner isolated chart."
phase2_3_count_only,37,near_miss_forex_audjpy_h1_intermediate_impulse_011,near_miss,intermediate,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,visually_defensible,4,good,wave 4 enters wave 1 territory and wave 5 remains below wave 3,medium,use_as_ambiguous_example,manual_flag_or_low_quality,Broad and legible count; good bullish near-miss due to truncation and fourth-wave overlap.
phase2_3_count_only,38,near_miss_metals_xagusd_h1_intermediate_impulse_003,near_miss,intermediate,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,visually_defensible,4,good,wave 4 overlaps wave 1 and wave 5 does not break the wave 3 extreme,medium,use_as_ambiguous_example,manual_flag_or_low_quality,Readable bearish sequence; good near-miss although truncated fifth reduces impulse quality.
phase2_4_context,38,near_miss_metals_xagusd_h1_intermediate_impulse_003,near_miss,intermediate,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,context_conflicts_but_useful,,,counter_htf_reframe,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"LTF bearish/EWO support the leg, but H4 bullish makes it counter-HTF correction."
phase2_4_context,40,near_miss_forex_audjpy_h1_minor_impulse_007,near_miss,minor,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,context_explains_ambiguity,,,downgrade,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"Small bullish 0-5 is range/base inside LTF-HTF conflict, not rule-quality impulse."
phase2_3_count_only,41,near_miss_metals_xagusd_h1_minor_impulse_002,near_miss,minor,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,plausible_but_needs_review,3,too_coarse,wave 3 absorbs nearly the whole move and wave 5 is weak versus the later turn,medium,review_manually,manual_flag_or_low_quality,"Interesting near-miss, but too dependent on one dominant swing for minor degree."
phase2_3_count_only,42,near_miss_index_aus200_h1_minor_impulse_012,near_miss,minor,charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,visually_defensible,4,good,"wave 5 does not exceed wave 3, leaving a truncated structure",medium,use_as_ambiguous_example,manual_flag_or_low_quality,Good compact bearish near-miss; failed fifth is visible without indicators.
phase2_3_count_only,43,near_miss_forex_audjpy_h1_major_impulse_007,near_miss,major,charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,visually_defensible,4,good,wave 4 retraces deeply and wave 5 stays below wave 3,medium,use_as_ambiguous_example,manual_flag_or_low_quality,Broad major reading; useful as almost-valid but truncated impulse.
phase2_3_count_only,44,near_miss_metals_xagusd_h1_major_impulse_006,near_miss,major,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,visually_defensible,4,good,wave 4 invades wave 1 and wave 5 does not reach wave 3 high,medium,use_as_ambiguous_example,manual_flag_or_low_quality,One of the clearest near-misses; main swings are well separated.
phase2_4_context,44,near_miss_metals_xagusd_h1_major_impulse_006,near_miss,major,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,context_explains_ambiguity,,,downgrade,medium,use_as_ambiguous_context,manual_flag_or_context_conflict,"EWO supports wave 3 high, but deep wave 4, lower-high wave 5 and later decline keep it ambiguous."
phase2_3_count_only,45,near_miss_index_aus200_h1_major_impulse_006,near_miss,major,charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,visually_defensible,4,good,wave 4 overlaps wave 1 and wave 5 fails before wave 3 extreme,medium,use_as_ambiguous_example,manual_flag_or_low_quality,Clean major bearish near-miss; good ambiguous case.
phase2_4_context,46,hard_invalid_forex_audjpy_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png,context_conflicts_but_useful,,,keep_hard_invalid,medium,use_as_negative_example,manual_flag_or_context_conflict,"HTF bullish explains why candidate appears, but broken wave rules dominate."
