intent_id,setup_id,symbol,timeframe,check_id,status,decision_if_failed
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,tp_present,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,mt5_snapshot_present,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,no_existing_position,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,no_pending_order,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,sizing_hardened,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,exposure_hardened,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,drawdown_kill_switch,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,no_live_mode,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,no_telegram,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,ai_not_approval,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,sender_not_available,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,eligible_setup,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,min_quality,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,shadow_triggered,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,triggered_at_present,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,timing_current,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,entry_present,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,sl_present,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,tp_present,fail,blocked_by_missing_tp
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,mt5_snapshot_present,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,no_existing_position,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,no_pending_order,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,sizing_hardened,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,exposure_hardened,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,drawdown_kill_switch,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,no_live_mode,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,no_telegram,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,ai_not_approval,pass,
47cf186a6136b0ff,fx_fib_missing_tp,US100,H4,sender_not_available,pass,
,fx_rsi_manual,EURJPY.r,H1,eligible_setup,fail,blocked_by_setup_scope
,fx_rsi_manual,EURJPY.r,H1,min_quality,pass,
,fx_rsi_manual,EURJPY.r,H1,shadow_triggered,pass,
,fx_rsi_manual,EURJPY.r,H1,triggered_at_present,pass,
,fx_rsi_manual,EURJPY.r,H1,timing_current,pass,
,fx_rsi_manual,EURJPY.r,H1,entry_present,pass,
,fx_rsi_manual,EURJPY.r,H1,sl_present,pass,
,fx_rsi_manual,EURJPY.r,H1,tp_present,pass,
,fx_rsi_manual,EURJPY.r,H1,mt5_snapshot_present,pass,
,fx_rsi_manual,EURJPY.r,H1,no_existing_position,pass,
,fx_rsi_manual,EURJPY.r,H1,no_pending_order,pass,
,fx_rsi_manual,EURJPY.r,H1,sizing_hardened,fail,blocked_by_volume_below_min
,fx_rsi_manual,EURJPY.r,H1,exposure_hardened,pass,
,fx_rsi_manual,EURJPY.r,H1,drawdown_kill_switch,pass,
,fx_rsi_manual,EURJPY.r,H1,no_live_mode,pass,
,fx_rsi_manual,EURJPY.r,H1,no_telegram,pass,
,fx_rsi_manual,EURJPY.r,H1,ai_not_approval,pass,
,fx_rsi_manual,EURJPY.r,H1,sender_not_available,pass,
,fx_context,EURO50,H1,eligible_setup,fail,blocked_by_setup_scope
,fx_context,EURO50,H1,min_quality,pass,
,fx_context,EURO50,H1,shadow_triggered,pass,
,fx_context,EURO50,H1,triggered_at_present,pass,
,fx_context,EURO50,H1,timing_current,pass,
,fx_context,EURO50,H1,entry_present,pass,
,fx_context,EURO50,H1,sl_present,pass,
,fx_context,EURO50,H1,tp_present,pass,
,fx_context,EURO50,H1,mt5_snapshot_present,pass,
,fx_context,EURO50,H1,no_existing_position,pass,
,fx_context,EURO50,H1,no_pending_order,pass,
,fx_context,EURO50,H1,sizing_hardened,fail,blocked_by_missing_symbol_metadata
,fx_context,EURO50,H1,exposure_hardened,fail,blocked_by_missing_candidate_risk
,fx_context,EURO50,H1,drawdown_kill_switch,pass,
,fx_context,EURO50,H1,no_live_mode,pass,
,fx_context,EURO50,H1,no_telegram,pass,
,fx_context,EURO50,H1,ai_not_approval,pass,
,fx_context,EURO50,H1,sender_not_available,pass,
,fx_low_quality,AUDUSD.r,H1,eligible_setup,pass,
,fx_low_quality,AUDUSD.r,H1,min_quality,fail,blocked_by_low_quality
,fx_low_quality,AUDUSD.r,H1,shadow_triggered,pass,
,fx_low_quality,AUDUSD.r,H1,triggered_at_present,pass,
,fx_low_quality,AUDUSD.r,H1,timing_current,pass,
,fx_low_quality,AUDUSD.r,H1,entry_present,pass,
,fx_low_quality,AUDUSD.r,H1,sl_present,pass,
,fx_low_quality,AUDUSD.r,H1,tp_present,pass,
,fx_low_quality,AUDUSD.r,H1,mt5_snapshot_present,pass,
,fx_low_quality,AUDUSD.r,H1,no_existing_position,pass,
,fx_low_quality,AUDUSD.r,H1,no_pending_order,pass,
,fx_low_quality,AUDUSD.r,H1,sizing_hardened,pass,
,fx_low_quality,AUDUSD.r,H1,exposure_hardened,pass,
,fx_low_quality,AUDUSD.r,H1,drawdown_kill_switch,pass,
,fx_low_quality,AUDUSD.r,H1,no_live_mode,pass,
,fx_low_quality,AUDUSD.r,H1,no_telegram,pass,
,fx_low_quality,AUDUSD.r,H1,ai_not_approval,pass,
,fx_low_quality,AUDUSD.r,H1,sender_not_available,pass,
,fx_wait,CADJPY.r,H1,eligible_setup,pass,
,fx_wait,CADJPY.r,H1,min_quality,pass,
,fx_wait,CADJPY.r,H1,shadow_triggered,fail,blocked_by_waiting_confirmation
,fx_wait,CADJPY.r,H1,triggered_at_present,fail,blocked_by_stale_data
,fx_wait,CADJPY.r,H1,timing_current,fail,blocked_by_stale_data
,fx_wait,CADJPY.r,H1,entry_present,fail,blocked_by_missing_entry
,fx_wait,CADJPY.r,H1,sl_present,pass,
,fx_wait,CADJPY.r,H1,tp_present,pass,
,fx_wait,CADJPY.r,H1,mt5_snapshot_present,pass,
,fx_wait,CADJPY.r,H1,no_existing_position,pass,
,fx_wait,CADJPY.r,H1,no_pending_order,pass,
,fx_wait,CADJPY.r,H1,sizing_hardened,fail,blocked_by_missing_entry
,fx_wait,CADJPY.r,H1,exposure_hardened,fail,blocked_by_missing_candidate_risk
,fx_wait,CADJPY.r,H1,drawdown_kill_switch,pass,
,fx_wait,CADJPY.r,H1,no_live_mode,pass,
,fx_wait,CADJPY.r,H1,no_telegram,pass,
,fx_wait,CADJPY.r,H1,ai_not_approval,pass,
,fx_wait,CADJPY.r,H1,sender_not_available,pass,
,fx_invalid,SPA35,H4,eligible_setup,pass,
,fx_invalid,SPA35,H4,min_quality,pass,
,fx_invalid,SPA35,H4,shadow_triggered,fail,blocked_by_invalidated_setup
,fx_invalid,SPA35,H4,triggered_at_present,pass,
,fx_invalid,SPA35,H4,timing_current,fail,blocked_by_invalidated_setup
,fx_invalid,SPA35,H4,entry_present,pass,
,fx_invalid,SPA35,H4,sl_present,pass,
,fx_invalid,SPA35,H4,tp_present,pass,
,fx_invalid,SPA35,H4,mt5_snapshot_present,pass,
,fx_invalid,SPA35,H4,no_existing_position,pass,
,fx_invalid,SPA35,H4,no_pending_order,pass,
,fx_invalid,SPA35,H4,sizing_hardened,pass,
,fx_invalid,SPA35,H4,exposure_hardened,pass,
,fx_invalid,SPA35,H4,drawdown_kill_switch,pass,
,fx_invalid,SPA35,H4,no_live_mode,pass,
,fx_invalid,SPA35,H4,no_telegram,pass,
,fx_invalid,SPA35,H4,ai_not_approval,pass,
,fx_invalid,SPA35,H4,sender_not_available,pass,
