candidate_id,source_id,review_category,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,start_pivot_id,end_pivot_id,count_detected_at,wave5_endpoint_status,proposed_endpoint_classification,wave5_exceeds_wave3,future_more_extreme_found,post_count_pivots_checked,post_wave5_extreme_pivot_id,post_wave5_extreme_time,post_wave5_extreme_detected_at,post_wave5_extreme_price,post_wave5_extension_abs,post_wave5_extension_vs_wave5,post_wave5_extension_vs_wave1,diagnostic_uses_post_count_pivots,causal_note,scenario,candidate_order,chart_path,chart_path_absolute
near_miss_index_aus200_h1_intermediate_impulse_008,index_aus200_h1_intermediate_impulse_008,near_miss,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,soft_impulse_near_miss,8,13,2026-03-10 10:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,39,charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png
near_miss_forex_audjpy_h1_minor_impulse_007,forex_audjpy_h1_minor_impulse_007,near_miss,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,soft_impulse_near_miss,7,12,2026-03-06 11:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,40,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png
near_miss_metals_xagusd_h1_minor_impulse_002,metals_xagusd_h1_minor_impulse_002,near_miss,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,soft_impulse_near_miss,2,7,2026-03-03 05:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,41,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png
near_miss_index_aus200_h1_minor_impulse_012,index_aus200_h1_minor_impulse_012,near_miss,index_aus200_h1,Index,AUS200,H1,minor,bearish,soft_impulse_near_miss,12,17,2026-03-09 20:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,42,charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png
near_miss_forex_audjpy_h1_major_impulse_007,forex_audjpy_h1_major_impulse_007,near_miss,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,soft_impulse_near_miss,7,12,2026-03-17 01:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,0,,,,,,,,False,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,43,charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png
near_miss_metals_xagusd_h1_major_impulse_006,metals_xagusd_h1_major_impulse_006,near_miss,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,soft_impulse_near_miss,6,11,2026-03-12 19:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,3,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,44,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png
near_miss_index_aus200_h1_major_impulse_006,index_aus200_h1_major_impulse_006,near_miss,index_aus200_h1,Index,AUS200,H1,major,bearish,soft_impulse_near_miss,6,11,2026-03-10 20:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,45,charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png
impulse_forex_audjpy_h4_minor_impulse_005,forex_audjpy_h4_minor_impulse_005,impulse,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,5,10,2025-12-24 08:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,14.0,2026-01-02 08:00:00,2026-01-02 20:00:00,105.277,0.5640000000000072,0.6852976913730398,0.7212276214833753,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h4_d1,1,charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png
impulse_metals_xagusd_h4_minor_impulse_001,metals_xagusd_h4_minor_impulse_001,impulse,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,1,6,2025-12-24 12:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,8.0,2025-12-29 00:00:00,2025-12-29 12:00:00,83.864,11.174000000000007,2.4445416757821072,1.0712299875371498,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h4_d1,2,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png
impulse_index_hk50_h4_minor_impulse_012,index_hk50_h4_minor_impulse_012,impulse,index_hk50_h4,Index,HK50,H4,minor,bullish,strict_candidate_impulse,12,17,2026-01-16 12:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,21.0,2026-01-29 16:00:00,2026-01-30 04:00:00,28106.75,877.25,0.687096142549442,2.1344282238442824,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h4_d1,3,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png
impulse_forex_eurusd_h4_major_impulse_011,forex_eurusd_h4_major_impulse_011,impulse,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,11,16,2026-03-09 16:00:00,premature_wave5_completion,premature_wave5_completion,True,True,2,18.0,2026-03-13 20:00:00,2026-03-16 08:00:00,1.14107,0.009619999999999962,0.8394415357766091,1.4023323615160568,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h4_d1,9,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png
impulse_metals_xpdusd_h4_major_impulse_001,metals_xpdusd_h4_major_impulse_001,impulse,metals_xpdusd_h4,Metals,XPDUSD,H4,major,bullish,strict_candidate_impulse,1,6,2025-12-29 12:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,10.0,2026-01-26 16:00:00,2026-01-27 04:00:00,2165.77,199.23000000000002,0.6597019867549669,1.5218852646856638,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h4_d1,10,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png
impulse_forex_gbpusd_h4_major_impulse_012,forex_gbpusd_h4_major_impulse_012,impulse,forex_gbpusd_h4,Forex Majors,GBPUSD.r,H4,major,bearish,strict_candidate_impulse,12,17,2026-03-04 04:00:00,premature_wave5_completion,premature_wave5_completion,True,True,2,19.0,2026-03-13 20:00:00,2026-03-16 08:00:00,1.32059,0.004709999999999992,0.14636420136730818,0.42896174863387077,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h4_d1,12,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png
near_miss_forex_audjpy_h4_intermediate_impulse_002,forex_audjpy_h4_intermediate_impulse_002,near_miss,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,soft_impulse_near_miss,2,7,2026-01-02 12:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,37,charts\impulses\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png
near_miss_metals_xagusd_h4_intermediate_impulse_003,metals_xagusd_h4_intermediate_impulse_003,near_miss,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,soft_impulse_near_miss,3,8,2026-01-07 12:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,38,charts\impulses\038_near_miss_metals_xagusd_h4_intermediate_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\038_near_miss_metals_xagusd_h4_intermediate_impulse_003.png
near_miss_index_aus200_h4_intermediate_impulse_009,index_aus200_h4_intermediate_impulse_009,near_miss,index_aus200_h4,Index,AUS200,H4,intermediate,bullish,soft_impulse_near_miss,9,14,2026-02-05 00:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,39,charts\impulses\039_near_miss_index_aus200_h4_intermediate_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\039_near_miss_index_aus200_h4_intermediate_impulse_009.png
near_miss_forex_audjpy_h4_minor_impulse_002,forex_audjpy_h4_minor_impulse_002,near_miss,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,soft_impulse_near_miss,2,7,2025-12-19 12:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,40,charts\impulses\040_near_miss_forex_audjpy_h4_minor_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\040_near_miss_forex_audjpy_h4_minor_impulse_002.png
near_miss_metals_xagusd_h4_minor_impulse_005,metals_xagusd_h4_minor_impulse_005,near_miss,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,soft_impulse_near_miss,5,10,2025-12-31 08:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,41,charts\impulses\041_near_miss_metals_xagusd_h4_minor_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\041_near_miss_metals_xagusd_h4_minor_impulse_005.png
near_miss_index_aus200_h4_minor_impulse_005,index_aus200_h4_minor_impulse_005,near_miss,index_aus200_h4,Index,AUS200,H4,minor,bullish,soft_impulse_near_miss,5,10,2026-01-06 12:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,42,charts\impulses\042_near_miss_index_aus200_h4_minor_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\042_near_miss_index_aus200_h4_minor_impulse_005.png
near_miss_forex_audjpy_h4_major_impulse_005,forex_audjpy_h4_major_impulse_005,near_miss,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,soft_impulse_near_miss,5,10,2026-02-02 04:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,43,charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\043_near_miss_forex_audjpy_h4_major_impulse_005.png
near_miss_metals_xagusd_h4_major_impulse_003,metals_xagusd_h4_major_impulse_003,near_miss,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,soft_impulse_near_miss,3,8,2026-02-05 04:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,44,charts\impulses\044_near_miss_metals_xagusd_h4_major_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\044_near_miss_metals_xagusd_h4_major_impulse_003.png
near_miss_index_aus200_h4_major_impulse_009,index_aus200_h4_major_impulse_009,near_miss,index_aus200_h4,Index,AUS200,H4,major,bullish,soft_impulse_near_miss,9,14,2026-02-10 12:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h4_d1,45,charts\impulses\045_near_miss_index_aus200_h4_major_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\045_near_miss_index_aus200_h4_major_impulse_009.png
