candidate_id,resolved_market_group,source_scope,symbol,timeframe,swing_degree,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase259_prominence_diagnostic,phase259_visual_verdict,robust_metric_verdict,percentile_verdict,reviewed_chart_path,notes
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,Index,h1_h4,AUS200,H1,intermediate,auxiliary_low_prominence_substructure,candidate_auxiliary_low_prominence_substructure,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\011_007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_aux252b_forex_audjpy_h1_minor_impulse_009,Forex Majors,h1_h4,AUDJPY.r,H1,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\012_040_near_miss_aux252b_forex_audjpy_h1_minor_impulse_009.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,Metals,h1_h4,XAGUSD.r,H1,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\013_041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_aux252b_metals_xagusd_h1_major_impulse_002,Metals,h1_h4,XAGUSD.r,H1,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\014_044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,Forex Majors,h4_d1,AUDCAD.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\015_001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_exp257_index_aus200_h4_minor_impulse_049,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\016_003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,Forex Majors,h4_d1,AUDCAD.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\017_004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_exp257_index_aus200_h4_intermediate_impulse_035,Index,h4_d1,AUS200,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\018_007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\019_018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
partial_123_exp257_index_aus200_h4_minor_partial123_002,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\020_019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
partial_123_exp257_metals_xageurr_h4_major_partial123_002,Metals,h4_d1,XAGEUR.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\021_022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
partial_123_exp257_index_aus200_h4_major_partial123_002,Index,h4_d1,AUS200,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\022_023_partial_123_exp257_index_aus200_h4_major_partial123_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004,Forex Majors,h4_d1,AUDCAD.r,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\023_025_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_metals_xageurr_h4_intermediate_abc_002,Metals,h4_d1,XAGEUR.r,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\024_026_abc_exp257_metals_xageurr_h4_intermediate_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_index_aus200_h4_intermediate_abc_002,Index,h4_d1,AUS200,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\025_027_abc_exp257_index_aus200_h4_intermediate_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010,Forex Majors,h4_d1,AUDCAD.r,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\026_028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_forex_majors_audcadr_h4_minor_abc_002,Forex Majors,h4_d1,AUDCAD.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\027_029_abc_exp257_forex_majors_audcadr_h4_minor_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_metals_xageurr_h4_minor_abc_002,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\028_030_abc_exp257_metals_xageurr_h4_minor_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_index_aus200_h4_minor_abc_002,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\029_031_abc_exp257_index_aus200_h4_minor_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_forex_majors_audcadr_h4_minor_abc_005,Forex Majors,h4_d1,AUDCAD.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\030_032_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_forex_majors_audcadr_h4_major_abc_006,Forex Majors,h4_d1,AUDCAD.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\031_033_abc_exp257_forex_majors_audcadr_h4_major_abc_006.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_metals_xageurr_h4_major_abc_002,Metals,h4_d1,XAGEUR.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\032_034_abc_exp257_metals_xageurr_h4_major_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_index_aus200_h4_major_abc_002,Index,h4_d1,AUS200,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\033_035_abc_exp257_index_aus200_h4_major_abc_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
abc_exp257_forex_majors_audcadr_h4_major_abc_008,Forex Majors,h4_d1,AUDCAD.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\034_036_abc_exp257_forex_majors_audcadr_h4_major_abc_008.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006,Forex Majors,h4_d1,AUDCAD.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\035_043_near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_index_aus200_h4_major_impulse_002,Index,h4_d1,AUS200,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\036_045_near_miss_exp257_index_aus200_h4_major_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\037_050_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
hard_invalid_exp257_index_aus200_h4_minor_impulse_001,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\038_051_hard_invalid_exp257_index_aus200_h4_minor_impulse_001.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
hard_invalid_exp257_metals_xageurr_h4_major_impulse_001,Metals,h4_d1,XAGEUR.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\039_053_hard_invalid_exp257_metals_xageurr_h4_major_impulse_001.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
hard_invalid_exp257_index_aus200_h4_major_impulse_001,Index,h4_d1,AUS200,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\040_054_hard_invalid_exp257_index_aus200_h4_major_impulse_001.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
